,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,34,0,4,0,N,1,9,501,25-01300,6,1,56,1,3,8,501,20.0
1,55,4,6,0,N,2,2,259,25-00503,2,2,24,1,6,3,137,0.0
2,16,4,6,2,4,1,1,28,25-00703,9,2,19,2,7,1,366,40.0
3,76,0,4,0,2,2,0,361,25-00703,8,2,51,0,2,2,60,40.0
4,63,0,1,0,4,2,3,137,25-00503,9,1,43,0,2,9,501,20.0
5,9,0,4,2,4,2,N,322,25-00503,6,2,59,0,2,6,501,0.0
6,17,4,6,2,4,1,1,221,25-01000,1,1,17,2,4,1,326,80.0
7,53,3,1,1,3,2,5,305,25-00503,1,1,44,2,4,9,501,0.0
8,22,2,6,4,7,1,0,275,25-01300,1,2,22,0,2,0,429,40.0
9,51,0,1,1,4,1,6,469,25-01300,7,2,70,0,3,4,501,0.0
10,66,0,3,0,N,2,3,113,25-01000,6,2,84,0,N,1,28,40.0
11,94,0,2,0,2,1,9,501,25-01300,6,1,46,0,N,9,501,60.0
12,72,0,1,0,2,2,5,30,25-00703,2,1,38,2,4,6,374,0.0
13,0,4,N,0,N,1,N,361,25-00503,1,2,11,2,4,N,501,20.0
14,79,4,1,0,2,2,3,69,25-01300,1,2,36,2,5,2,369,0.0
15,55,4,6,0,2,2,4,500,25-01300,1,1,24,0,N,8,501,20.0
16,39,0,2,1,3,0,0,0,25-01000,1,1,52,N,N,2,N,0.0
17,85,3,1,1,4,1,0,90,25-00503,1,2,62,1,3,9,501,20.0
18,24,0,6,0,3,0,6,N,25-01000,6,1,66,N,N,0,N,20.0
19,78,0,4,0,2,2,N,314,25-00503,8,2,62,0,N,8,501,20.0
20,74,4,4,0,2,2,2,335,25-01000,1,1,68,0,N,4,212,20.0
21,91,0,N,0,2,1,5,501,25-01000,9,2,12,2,4,N,501,20.0
22,2,1,N,N,N,2,N,501,25-00703,1,1,11,3,5,N,176,20.0
23,62,0,4,0,2,1,7,501,25-02800,6,2,40,1,2,3,102,20.0
24,85,0,3,0,3,0,0,N,25-01000,1,1,82,N,N,3,N,20.0
25,88,0,5,0,2,2,6,501,25-01000,1,1,65,0,N,5,313,20.0
26,26,4,6,0,2,2,7,501,25-00503,9,1,16,2,4,0,93,0.0
27,87,0,3,0,3,0,1,N,25-02800,2,2,84,N,N,0,N,20.0
28,65,4,4,0,2,1,9,501,25-02800,1,1,36,0,N,6,463,20.0
29,53,0,1,0,N,2,3,23,25-01300,2,2,30,1,4,3,501,20.0
30,81,2,1,0,4,2,1,205,25-01000,1,1,58,0,2,0,62,20.0
31,35,4,6,1,4,1,6,366,25-00703,6,1,15,3,4,2,204,20.0
32,82,2,6,0,2,2,0,274,25-00503,1,1,15,0,4,0,158,40.0
33,8,0,N,4,6,2,N,492,25-01000,2,1,0,1,3,N,226,20.0
34,40,0,5,0,2,1,4,418,25-02800,1,2,44,2,3,1,29,0.0
35,26,4,6,0,2,2,8,501,25-01000,1,1,16,5,7,0,155,0.0
36,72,0,1,0,2,2,7,501,25-00503,2,1,44,0,2,0,207,40.0
37,81,4,4,0,4,1,6,377,25-02800,1,2,55,0,N,8,501,20.0
38,19,0,6,N,N,0,2,N,25-01000,8,1,29,N,N,3,141,40.0
39,56,0,1,0,N,1,9,501,25-00503,9,1,64,0,2,1,501,40.0
40,15,0,6,0,4,2,0,76,25-01000,6,2,34,0,N,8,501,20.0
41,71,4,1,0,N,2,5,433,25-01000,1,1,30,5,7,5,155,20.0
42,17,2,6,2,4,0,0,N,25-01300,1,2,18,N,N,3,N,20.0
43,29,0,1,0,3,2,4,262,25-01300,2,1,32,1,4,7,501,0.0
44,28,3,6,2,4,1,8,406,25-01300,1,1,18,0,3,1,501,0.0
45,50,0,6,0,2,2,8,501,25-02800,6,1,25,0,4,4,212,20.0
46,48,0,6,0,6,1,9,501,25-01000,9,1,36,0,4,5,501,40.0
47,13,4,N,3,5,2,N,47,25-00703,1,1,0,3,4,N,15,40.0
48,46,1,1,2,4,1,8,501,25-02800,1,1,69,0,2,9,501,20.0
49,59,0,4,0,N,1,4,213,25-00703,2,1,31,0,3,7,501,20.0
50,75,0,3,3,6,2,4,44,25-02800,2,2,64,3,6,0,240,40.0
51,25,1,6,0,N,2,4,145,25-01000,1,1,19,0,2,4,212,40.0
52,46,2,1,2,4,1,8,501,25-00703,1,1,49,2,4,9,501,60.0
53,19,4,6,N,N,2,1,352,25-00503,1,1,32,1,6,3,175,0.0
54,71,0,6,0,3,1,4,203,25-00503,2,1,41,0,N,8,501,20.0
55,28,4,6,0,4,2,1,268,25-00703,1,2,27,0,2,4,323,20.0
56,23,0,6,0,2,2,1,401,25-01000,9,1,17,1,2,1,344,40.0
57,73,0,4,N,N,1,7,501,25-00503,9,1,50,0,N,6,464,20.0
58,76,0,3,0,3,2,2,218,25-00703,6,1,90,0,4,0,391,20.0
59,69,0,5,0,3,2,6,501,25-00503,1,1,46,2,3,9,501,40.0
60,16,4,6,2,6,1,0,361,25-00703,8,2,21,0,3,1,366,0.0
