,feature,divergence
1,AGEP,0.8833819241982506
22,PWGTP,0.5533830845771147
23,WGTP,0.5316043083900228
14,PINCP,0.32460597324311125
11,INDP,0.30380492113605406
16,POVPIP,0.23615684650167407
13,EDU,0.22861546956241657
15,PINCP_DECILE,0.2064268373427499
10,DENSITY,0.1292539773858783
0,PUMA,0.1292539773858783
5,RAC1P,0.12762619252712257
12,INDP_CAT,0.12223844394799024
7,NPF,0.09967688837407786
4,HISP,0.09237420046003089
3,MSP,0.0430084829717675
6,NOC,0.028029650772896618
19,DPHY,0.022462657598438247
18,DREM,0.016380611192531078
9,OWN_RENT,0.010181262183553641
21,DEAR,0.004960261142496418
17,DVET,0.004847477338567305
8,HOUSING_TYPE,0.0031497696686550378
20,DEYE,0.0007914187436189254
2,SEX,3.045160236669897e-05
