,EDU,HISP,INDP_CAT,MSP,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,PINCP_DECILE_y,percent_match
0,9,0,14,6,1,1,48-02507,1,2,2,0.0
1,5,0,6,4,2,3,48-02101,1,2,5,0.0
2,11,0,9,1,1,9,48-02515,1,1,9,100.0
3,3,1,3,1,1,7,48-02101,1,1,4,0.0
4,7,0,4,1,1,6,48-02510,1,2,8,0.0
5,5,0,6,6,2,3,48-02516,1,2,5,0.0
6,9,0,4,1,1,9,48-02510,2,1,9,100.0
7,5,0,N,4,2,5,48-02515,1,1,9,0.0
8,5,0,3,1,2,3,48-02102,1,2,6,0.0
9,6,0,4,1,1,5,48-02101,1,2,9,0.0
10,7,0,7,1,2,5,48-02507,1,2,6,0.0
11,7,0,N,2,1,0,48-02510,1,2,6,0.0
12,7,0,6,4,2,7,48-02101,1,1,7,100.0
13,9,0,9,6,1,0,48-02101,1,2,5,0.0
14,2,0,N,N,2,N,48-02510,9,1,N,100.0
15,3,1,N,6,2,0,48-02507,1,2,0,100.0
16,5,0,12,1,1,6,48-02516,1,1,7,0.0
17,9,1,9,1,1,8,48-02510,1,1,9,0.0
18,9,0,11,6,1,2,48-02515,2,2,8,0.0
19,9,1,11,1,1,6,48-02516,1,2,0,0.0
20,9,0,13,1,1,1,48-02515,1,2,0,0.0
21,5,0,6,4,2,7,48-02515,1,1,7,100.0
22,10,0,10,1,1,9,48-02507,2,1,8,0.0
23,10,0,6,1,1,7,48-02507,1,1,6,0.0
24,7,1,15,1,1,9,48-02101,1,1,5,0.0
25,5,0,1,1,2,9,48-02101,1,1,8,0.0
26,12,0,N,4,1,N,48-02101,1,2,8,0.0
27,5,0,3,4,1,6,48-02510,1,1,7,0.0
28,9,0,10,1,1,9,48-02510,6,2,4,0.0
29,7,0,7,6,1,8,48-02101,1,2,5,0.0
30,6,0,N,4,1,8,48-02102,1,1,2,0.0
31,9,0,N,1,1,2,48-02515,6,2,7,0.0
32,8,0,10,1,2,3,48-02507,1,1,7,0.0
33,9,0,9,1,2,8,48-02510,1,1,9,0.0
34,1,1,N,N,1,N,48-02510,8,1,N,100.0
35,4,1,N,6,2,0,48-02101,1,2,0,100.0
36,6,1,N,1,1,0,48-02515,1,2,3,0.0
37,9,0,9,6,1,1,48-02101,1,1,5,0.0
38,9,0,15,4,1,6,48-02510,1,1,5,0.0
39,4,0,4,6,1,5,48-02102,1,1,2,0.0
40,7,1,N,1,1,5,48-02516,1,1,6,0.0
41,10,0,11,3,1,9,48-02510,1,2,8,0.0
42,9,0,14,6,1,5,48-02516,1,2,0,0.0
43,7,0,1,1,1,8,48-02516,1,1,8,100.0
44,N,0,N,N,1,N,48-02507,6,1,N,100.0
45,7,0,3,1,1,8,48-02516,1,2,7,0.0
46,7,0,7,4,1,9,48-02510,1,1,7,0.0
47,6,0,4,1,1,9,48-02510,1,1,6,0.0
48,9,0,13,1,1,5,48-02510,6,2,8,0.0
49,3,0,N,4,2,3,48-02515,1,1,2,0.0
50,10,0,8,1,1,8,48-02102,1,2,8,100.0
51,7,0,4,4,1,7,48-02510,1,1,8,0.0
52,9,0,10,1,1,8,48-02516,6,2,8,100.0
