,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,34,2,6,2,2,2,N,12,0,1,9170,15,1,0,2,2,80000.0,7,501,25-00703,70,1,2,68,33,2,6,2,2,2,N,1,9170,0,2,90000.0,8,501,70,70,75.0
1,29,2,7,2,2,2,N,5,4,1,8680,14,6,0,N,2,45000.0,5,342,25-02800,185,1,2,76,22,2,7,2,2,2,N,1,8680,0,3,18000.0,3,324,85,83,56.25
2,69,2,6,2,2,2,N,5,0,1,8470,13,3,0,N,2,34000.0,4,277,25-01000,60,1,2,60,69,2,6,2,2,2,N,1,8470,0,N,34000.0,4,279,111,112,81.25
3,58,2,5,2,2,2,N,6,0,1,8191,12,1,0,4,1,50000.0,6,501,25-01300,120,1,2,124,38,2,5,2,2,2,N,1,8270,2,5,28000.0,4,443,130,126,43.75
4,63,2,7,2,2,2,N,5,0,1,6970,9,4,0,N,1,16000.0,3,138,25-02800,249,1,2,201,63,2,7,2,2,2,N,1,6970,0,N,80000.0,7,501,114,115,68.75
5,22,2,6,2,2,2,N,7,0,1,8191,12,6,1,4,1,6000.0,1,501,25-01000,103,1,2,88,26,2,6,2,2,2,N,1,8290,1,2,36000.0,5,274,46,51,50.0
6,59,2,5,2,2,2,N,12,0,1,2190,4,1,0,2,1,136700.0,9,501,25-01300,74,1,2,76,50,2,5,2,2,2,N,1,2190,2,5,150500.0,9,501,101,100,62.5
7,73,1,7,2,2,2,N,5,0,1,8080,12,4,0,N,1,50000.0,6,399,25-02800,114,1,2,115,66,2,7,2,2,2,N,1,8191,0,N,88800.0,8,501,55,56,50.0
8,67,2,6,2,2,2,N,7,0,1,8290,12,4,0,N,2,53000.0,6,501,25-01000,661,1,2,624,63,2,6,2,2,2,N,1,8170,0,2,34000.0,4,394,60,59,50.0
9,29,2,7,2,2,2,N,11,0,1,8191,12,6,0,N,2,73000.0,7,501,25-02800,70,1,2,69,29,2,7,2,2,2,N,1,8191,0,N,73000.0,7,501,80,80,87.5
10,33,2,6,2,2,2,N,8,0,1,8090,12,6,2,4,2,21000.0,3,66,25-00703,384,2,2,422,33,2,6,2,2,2,N,1,8090,2,4,30000.0,4,323,416,416,68.75
11,70,2,5,2,2,2,N,6,0,1,N,N,1,0,3,1,36600.0,5,501,25-01300,117,6,2,128,55,2,5,2,2,2,N,1,N,0,2,0.0,0,421,90,77,56.25
12,69,2,5,1,2,2,N,9,0,1,N,N,4,0,N,1,0.0,0,0,25-01300,71,1,2,71,68,2,5,2,2,2,N,1,N,0,N,80000.0,7,501,54,54,56.25
13,59,2,6,2,2,2,N,5,0,1,7460,10,1,0,2,1,30000.0,4,424,25-00703,95,1,2,94,55,2,6,2,2,2,N,1,7470,1,4,75000.0,7,501,349,335,43.75
14,47,2,7,2,2,2,N,5,0,1,7580,10,4,3,4,1,42000.0,5,501,25-00503,103,1,2,94,67,2,7,2,2,2,N,1,7460,0,N,12000.0,2,99,92,102,43.75
15,38,2,7,2,2,2,N,12,0,1,8380,13,1,0,6,1,115000.0,8,501,25-02800,100,1,2,98,69,2,7,2,2,2,N,1,8370,0,3,81000.0,7,501,53,53,56.25
16,25,2,5,2,2,2,N,9,1,1,3390,4,6,0,4,1,16900.0,3,61,25-01300,51,1,2,45,26,2,5,2,2,2,N,1,3390,0,4,48500.0,6,501,75,52,62.5
17,65,2,6,2,2,2,N,5,0,1,9480,16,1,0,2,1,3040.0,1,239,25-01000,153,1,2,152,65,2,6,2,1,2,N,1,9480,0,2,4400.0,1,234,93,84,68.75
18,94,2,7,2,1,2,N,5,0,1,N,N,6,0,N,2,24700.0,4,197,25-02800,80,1,2,79,60,2,7,2,2,2,N,1,N,0,N,8520.0,2,64,102,101,56.25
19,40,2,6,2,2,2,N,7,0,1,8470,13,4,2,4,2,7100.0,2,44,25-00703,117,1,2,98,35,2,6,2,2,2,N,1,8370,3,4,4000.0,1,15,103,103,50.0
20,31,2,6,2,2,2,N,5,0,1,7780,10,6,0,N,2,40400.0,5,304,25-01000,366,1,2,151,30,2,6,2,2,2,N,1,7780,0,N,49900.0,6,380,249,253,62.5
21,62,2,7,2,2,2,N,5,0,1,N,N,2,2,6,1,0.0,0,501,25-02800,56,1,2,63,62,2,7,2,2,2,N,1,N,2,6,0.0,0,501,71,87,87.5
22,83,2,6,2,2,2,N,10,0,3,N,N,6,N,N,0,0.0,0,0,25-00703,15,1,2,0,85,2,6,2,2,2,N,3,N,N,N,0.0,0,0,17,0,87.5
23,44,2,5,2,2,2,N,9,0,1,5490,6,1,2,4,2,8600.0,2,407,25-01300,77,1,2,84,44,2,5,2,2,2,N,1,5490,2,4,8600.0,2,407,114,111,87.5
24,67,2,5,2,2,2,N,3,0,1,N,N,3,0,N,1,36700.0,5,305,25-01300,75,1,2,78,89,1,5,2,1,2,N,1,N,0,N,21300.0,3,175,71,71,50.0
25,63,2,6,2,2,2,N,4,0,3,N,N,4,N,N,0,7000.0,2,52,25-01000,58,1,2,0,63,1,6,1,2,2,N,3,N,N,N,7000.0,2,52,58,0,87.5
26,47,2,7,2,2,2,N,9,0,1,7071,9,4,0,N,1,22000.0,3,180,25-00503,62,1,2,61,45,2,7,2,2,2,N,1,7071,1,2,178400.0,9,501,337,336,50.0
27,58,2,5,2,2,2,N,7,0,1,8980,15,1,0,3,1,44000.0,5,501,25-01300,213,1,2,233,57,2,5,2,2,2,N,1,8990,0,4,0.0,0,501,90,89,56.25
28,72,2,7,2,2,2,N,8,0,1,8270,12,1,0,2,1,38000.0,5,501,25-00503,63,6,2,83,72,2,7,2,2,2,N,1,8270,0,2,58600.0,6,501,68,51,75.0
29,23,2,6,2,2,2,N,9,0,1,1480,4,6,0,2,2,8000.0,2,339,25-01000,67,1,2,53,27,2,6,2,2,2,N,1,2880,0,2,41000.0,5,501,75,65,56.25
30,75,2,6,2,2,2,N,7,0,1,6770,8,3,0,N,2,42000.0,5,339,25-00703,56,1,2,57,75,2,6,2,2,2,N,1,6770,0,N,43100.0,5,355,56,56,81.25
31,18,2,7,2,2,2,N,9,0,1,N,N,6,0,N,2,0.0,0,0,25-00503,62,6,2,64,23,2,7,2,2,2,N,1,N,0,N,0.0,0,0,62,50,87.5
32,48,2,6,2,2,2,N,11,0,1,6991,9,6,0,2,1,235000.0,9,501,25-00703,100,1,2,101,53,2,6,2,2,2,N,1,6991,0,N,145000.0,9,501,57,57,68.75
33,48,2,5,2,2,2,N,10,0,1,7860,11,1,0,3,2,110000.0,8,501,25-01300,69,1,2,69,48,2,5,2,2,2,N,1,7860,0,3,250000.0,9,501,57,57,75.0
34,68,2,5,2,2,2,N,5,0,1,3095,4,1,0,2,1,75000.0,7,501,25-01300,75,1,2,75,68,2,5,2,2,2,N,1,3095,0,2,28500.0,4,377,75,74,75.0
35,81,2,7,2,2,2,N,8,0,1,4795,6,6,0,N,1,52100.0,6,437,25-02800,132,1,2,130,81,2,7,2,2,2,N,1,4795,0,3,24000.0,4,501,121,102,62.5
36,69,2,5,2,2,2,N,8,0,1,3380,4,1,0,2,1,15400.0,3,463,25-01300,173,6,2,117,69,2,5,2,2,2,N,1,3380,0,2,15400.0,3,300,173,131,87.5
37,58,2,5,2,2,2,N,10,0,1,6170,7,1,1,4,1,70000.0,7,501,25-01300,60,1,2,62,58,2,5,2,2,2,N,1,6170,1,4,465000.0,9,501,70,68,75.0
38,29,2,6,2,2,2,N,7,0,1,8191,12,2,0,4,1,60500.0,6,501,25-01000,64,1,2,65,30,2,6,2,2,2,N,1,8191,0,4,39500.0,5,501,161,88,68.75
39,57,2,5,2,2,2,N,8,0,1,9170,15,1,0,2,1,55000.0,6,386,25-01300,120,1,2,124,57,2,5,2,2,2,N,1,9170,0,2,55000.0,6,501,75,75,81.25
40,21,2,6,2,2,2,N,7,0,1,8090,12,6,0,N,2,19200.0,3,144,25-00703,581,1,2,503,19,2,6,2,2,2,N,1,8191,1,3,7600.0,2,501,87,65,43.75
41,35,2,6,2,2,2,N,9,0,1,8990,15,6,0,2,1,91000.0,8,429,25-00703,116,1,2,62,54,2,6,2,2,2,N,1,9170,0,N,1140.0,1,8,60,61,50.0
42,18,2,7,2,2,2,N,7,0,3,1990,4,6,N,N,0,1400.0,1,N,25-00503,28,1,2,0,18,2,7,2,2,2,N,3,1990,N,N,4100.0,1,N,28,0,93.75
43,39,2,7,2,2,2,N,9,0,1,6190,7,2,0,N,1,22000.0,3,0,25-00503,191,2,2,188,35,2,7,2,2,2,N,1,6190,0,2,22000.0,3,165,276,97,68.75
44,52,2,7,2,2,2,N,9,0,1,5580,6,6,0,N,1,63000.0,6,478,25-00503,72,1,2,73,69,2,7,2,2,2,N,1,5593,0,N,43000.0,5,355,91,91,56.25
45,50,2,5,2,2,2,N,11,0,1,6970,9,1,0,2,1,101000.0,8,501,25-01300,53,1,2,54,50,2,5,2,2,2,N,1,6970,0,2,191000.0,9,501,68,69,75.0
46,23,2,7,2,2,2,N,9,0,1,570,2,6,0,N,2,70000.0,7,501,25-02800,137,1,2,113,23,2,7,2,2,2,N,1,570,0,N,70000.0,7,501,137,113,100.0
47,79,2,6,2,2,2,N,8,0,1,N,N,1,0,2,1,13200.0,2,447,25-01000,159,6,2,117,39,2,6,2,2,2,N,1,N,3,5,0.0,0,501,97,107,50.0
48,78,2,6,2,2,2,N,5,0,1,N,N,1,0,5,1,6000.0,1,501,25-01000,54,6,2,54,78,2,6,2,2,2,N,1,N,0,2,16800.0,3,501,58,45,68.75
49,39,2,6,2,2,2,N,9,0,1,570,2,1,2,4,1,80400.0,7,501,25-01000,91,9,2,54,39,2,6,2,2,2,N,1,570,2,4,80400.0,7,501,105,115,87.5
50,83,2,7,2,2,2,N,10,0,1,9170,15,3,0,N,1,32490.0,4,269,25-00503,65,1,2,92,94,2,7,2,2,2,N,1,9170,0,N,23600.0,4,195,102,103,68.75
51,39,2,6,2,2,2,N,7,0,1,8470,13,1,2,4,1,11000.0,2,501,25-01000,70,1,2,68,72,2,6,2,2,2,N,1,8370,0,2,9700.0,2,501,91,79,56.25
52,57,2,6,2,2,2,N,8,0,1,4971,6,3,0,N,2,2100.0,1,15,25-00703,105,1,2,104,57,2,6,2,2,2,N,1,4971,0,N,19300.0,3,147,68,69,68.75
53,18,2,6,2,2,2,N,4,0,1,8680,14,6,2,4,2,220.0,0,28,25-00703,336,2,2,321,16,2,6,2,2,2,N,1,8660,5,6,220.0,1,66,203,485,50.0
54,62,2,7,2,2,2,N,9,0,1,3580,4,4,0,4,1,85000.0,8,493,25-02800,78,1,2,77,58,2,7,2,2,2,N,1,2190,0,N,320000.0,9,501,99,99,50.0
55,59,2,6,2,2,2,N,7,0,1,8980,15,6,0,N,1,7000.0,2,53,25-01000,57,1,2,56,56,2,6,2,2,2,N,1,8990,0,N,7000.0,2,53,57,65,81.25
56,64,2,5,2,2,2,N,8,0,1,8470,13,1,0,2,1,24000.0,4,501,25-01300,59,1,2,60,64,2,5,2,2,2,N,1,8470,0,2,24000.0,4,202,88,74,81.25
57,56,2,6,2,2,2,N,7,0,1,6290,7,6,0,N,1,10000.0,2,82,25-01000,103,1,2,101,25,2,6,2,2,2,N,1,6290,0,N,4000.0,1,30,123,137,62.5
58,28,2,6,2,2,2,N,7,0,1,5790,6,6,2,3,2,10000.0,2,66,25-00703,67,1,2,67,28,2,6,2,2,2,N,1,5790,2,3,13000.0,2,64,67,67,87.5
59,30,2,6,2,2,2,N,9,0,1,6970,9,1,0,2,2,85000.0,8,501,25-01000,113,1,2,114,30,2,6,2,2,2,N,1,6970,0,2,85000.0,8,501,113,113,93.75
60,40,2,6,2,2,2,N,7,0,1,3390,4,4,0,N,2,135000.0,9,494,25-00703,109,1,2,109,45,2,6,2,2,2,N,1,3390,1,2,52700.0,6,341,109,108,56.25
