SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
1,6,1,1,8,1,48-02516,12,2,3,392
2,4,6,1,7,1,48-02102,19,0,5,19
2,6,1,1,3,0,48-02102,54,0,3,445
2,1,6,2,5,0,48-02510,55,1,3,204
2,1,1,1,7,0,48-02507,25,0,4,229
2,6,6,2,0,0,48-02101,56,1,2,232
2,1,1,1,7,1,48-02515,70,0,3,117
2,1,1,1,8,0,48-02515,44,0,4,15
2,6,1,1,3,0,48-02515,45,0,N,501
2,6,1,2,1,0,48-02507,36,0,2,337
1,6,1,1,3,0,48-02507,36,0,5,501
2,1,4,1,8,0,48-02515,51,2,2,330
2,1,8,2,2,0,48-02101,65,1,6,395
1,2,6,1,2,1,48-02102,53,0,3,191
2,4,1,2,2,1,48-02507,70,0,3,206
1,1,1,1,4,0,48-02510,48,2,2,226
1,4,3,1,6,0,48-02102,40,0,N,184
2,4,2,1,0,1,48-02507,25,0,6,293
2,6,1,1,7,0,48-02101,41,2,3,260
2,6,1,1,7,0,48-02101,73,0,2,360
2,N,1,1,4,0,48-02515,15,3,2,333
1,2,1,1,5,0,48-02515,54,4,3,184
2,1,1,1,2,0,48-02510,17,5,N,209
2,2,1,2,0,0,48-02507,48,0,4,247
1,6,6,2,5,0,48-02510,65,0,3,225
1,6,1,2,6,1,48-02101,25,1,N,123
2,1,1,1,2,0,48-02516,64,0,2,476
2,4,1,1,6,0,48-02510,23,1,5,378
1,6,1,1,8,0,48-02101,46,0,6,501
1,1,1,2,3,0,48-02515,19,0,5,246
2,1,1,1,4,0,48-02102,16,0,2,501
1,4,1,2,5,0,48-02510,28,0,N,341
2,6,1,1,3,0,48-02510,59,0,3,129
2,1,1,1,1,0,48-02515,56,0,3,312
1,1,2,2,4,0,48-02507,70,0,2,468
1,1,1,2,4,1,48-02102,41,0,2,239
2,1,7,1,5,0,48-02102,67,0,2,178
2,4,9,2,3,0,48-02507,31,0,N,136
1,1,1,1,3,1,48-02510,58,N,11,301
2,4,1,1,2,0,48-02507,45,5,4,345
2,1,1,2,8,1,48-02515,63,0,3,394
2,3,1,1,4,0,48-02507,55,3,2,224
2,6,1,1,5,0,48-02507,25,0,2,249
1,1,1,1,3,0,48-02516,65,0,2,501
2,1,1,1,3,1,48-02516,77,2,N,181
2,6,2,2,0,0,48-02102,19,0,2,410
2,1,1,1,6,0,48-02507,24,0,3,402
2,1,1,1,2,0,48-02516,42,0,2,136
1,3,6,1,5,0,48-02507,19,1,2,279
2,1,1,1,6,0,48-02101,56,0,3,231
2,1,1,1,2,0,48-02102,15,0,7,255
2,1,1,1,0,0,48-02516,69,3,4,188
