,EDU,HISP,INDP_CAT,MSP,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,PINCP_DECILE_y,percent_match
0,9,0,6,6,2,5,36-04010,2,2,0,0.0
1,11,0,10,1,2,9,06-07502,1,2,4,0.0
2,4,0,14,6,0,0,38-00100,5,1,1,0.0
3,7,0,12,6,2,5,32-00405,2,2,2,0.0
4,12,0,12,4,1,9,08-00803,1,1,9,100.0
5,4,0,11,6,2,1,29-01901,2,2,3,0.0
6,10,0,9,1,2,9,29-01901,1,1,6,0.0
7,9,0,6,4,1,9,24-01004,1,1,7,0.0
8,5,0,7,1,2,3,38-00100,1,2,6,0.0
9,4,0,3,6,1,8,32-00405,1,1,5,0.0
10,2,1,N,N,1,N,24-01004,1,2,N,100.0
11,7,0,N,4,0,3,30-00600,1,1,7,0.0
12,5,0,4,6,2,7,30-00600,1,1,7,100.0
13,4,0,N,6,0,0,13-04600,1,1,0,100.0
14,4,2,N,6,0,0,36-03710,2,2,1,0.0
15,9,0,10,1,2,7,17-03529,2,2,8,0.0
16,4,1,14,6,2,1,36-03710,8,1,4,0.0
17,5,0,N,6,0,1,17-03529,1,2,0,0.0
18,5,0,3,6,1,8,17-03531,2,1,2,0.0
19,10,0,N,2,1,8,17-03529,2,1,5,0.0
20,8,0,10,6,2,7,13-04600,2,1,1,0.0
21,11,0,N,6,2,7,17-03529,2,1,3,0.0
22,5,0,N,4,1,5,32-00405,2,2,0,0.0
23,7,0,N,1,1,0,36-04010,6,1,0,100.0
24,10,0,9,6,2,9,06-07502,6,1,9,100.0
25,N,1,N,N,2,N,40-00200,1,1,N,100.0
26,9,0,N,6,1,7,08-00803,1,1,2,0.0
27,5,0,N,4,2,6,40-00200,1,1,4,0.0
28,7,0,N,6,1,0,06-07502,1,1,5,0.0
29,5,0,12,6,2,2,17-03529,1,1,6,0.0
30,7,0,11,4,2,4,38-00100,1,2,2,0.0
31,3,0,N,1,1,3,28-01100,2,2,2,0.0
32,5,1,12,1,1,4,38-00100,1,2,4,100.0
33,8,0,N,4,1,8,13-04600,2,1,5,0.0
34,10,0,17,1,2,9,51-51255,1,2,8,0.0
35,5,1,3,1,2,7,32-00405,1,1,5,0.0
36,4,4,12,5,2,5,36-03710,2,2,6,0.0
