,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_DECILE_y,percent_match
0,85,2,6,2,2,1,N,5,0,1,15,1,0,2,1,5,25-01000,1,1,65,2,6,2,2,2,N,1,0,2,1,72.72727272727273
1,29,2,7,2,2,2,N,9,0,1,4,6,0,3,2,7,25-02800,1,2,47,2,7,2,2,2,N,1,0,N,7,81.81818181818183
2,39,2,5,2,2,2,N,7,0,1,14,1,0,3,1,4,25-01300,1,2,46,2,5,2,2,2,N,1,4,9,2,63.63636363636363
3,37,2,6,2,2,2,N,11,0,1,9,1,1,3,1,8,25-01000,1,2,51,2,6,2,2,2,N,1,1,3,9,81.81818181818183
4,60,2,6,2,2,1,N,8,0,1,N,3,0,2,1,0,25-01000,1,1,62,2,6,2,2,2,N,1,0,2,2,72.72727272727273
5,42,2,5,2,2,2,N,5,0,1,12,2,0,3,1,8,25-01300,1,2,38,2,5,2,2,2,N,1,0,3,4,81.81818181818183
6,35,2,6,2,2,1,N,9,0,1,N,3,0,N,1,6,25-01000,1,1,85,2,6,2,2,2,N,1,0,N,4,72.72727272727273
7,51,2,6,2,2,2,N,9,0,1,13,3,0,N,2,4,25-00703,1,2,83,1,6,2,1,2,N,1,0,N,4,72.72727272727273
8,63,2,6,1,2,2,N,7,0,1,4,4,0,2,2,7,25-00703,1,1,29,2,6,2,2,2,N,1,0,N,2,63.63636363636363
9,52,2,7,2,2,1,N,4,0,1,7,1,0,2,1,6,25-02800,1,1,50,2,7,2,2,2,N,1,0,2,6,81.81818181818183
10,86,2,7,2,2,2,N,6,0,1,N,3,0,N,1,2,25-02800,1,2,58,2,7,1,1,1,N,1,0,2,2,54.54545454545454
11,48,2,5,2,2,2,N,5,0,1,11,6,0,2,2,6,25-01300,1,1,53,2,5,2,2,2,N,1,0,N,6,81.81818181818183
12,47,2,6,2,2,2,N,8,0,1,4,6,0,N,2,3,25-01000,1,1,29,2,6,2,2,2,N,1,0,2,5,72.72727272727273
13,34,2,6,2,2,2,N,4,0,1,10,1,1,5,1,8,25-01000,1,1,55,2,6,2,2,2,N,1,0,2,7,63.63636363636363
14,2,2,7,2,N,N,N,2,2,1,N,N,2,4,2,N,25-00503,1,1,5,2,7,2,2,2,N,1,2,3,N,63.63636363636363
15,1,2,5,2,2,N,N,2,0,1,N,N,2,3,1,N,25-01300,6,1,7,2,5,2,2,2,N,1,2,4,N,72.72727272727273
16,70,2,7,2,2,2,N,5,0,1,12,1,0,2,2,2,25-02800,1,1,56,2,7,2,2,2,N,1,0,6,6,72.72727272727273
17,40,2,6,2,1,1,N,9,0,1,N,1,0,N,2,0,25-01000,1,2,68,2,6,2,2,2,N,1,0,2,6,54.54545454545454
18,37,2,5,2,2,1,N,7,0,1,4,6,0,4,1,0,25-01300,1,1,32,2,5,2,2,2,3,1,0,3,5,54.54545454545454
19,55,2,6,2,2,2,N,9,0,1,6,3,0,2,2,1,25-00703,1,2,40,2,6,2,2,2,N,1,1,2,3,72.72727272727273
20,24,2,7,2,2,2,N,9,0,1,9,3,0,N,1,5,25-02800,1,2,70,2,7,2,2,2,N,1,0,5,5,81.81818181818183
21,18,2,6,2,2,2,N,4,0,1,15,1,3,4,1,5,25-01000,1,1,66,2,6,2,2,2,N,1,0,3,7,63.63636363636363
22,69,2,5,2,2,2,N,7,0,1,6,2,0,3,1,6,25-01300,1,1,62,2,5,2,2,2,N,1,0,3,6,90.9090909090909
23,23,2,7,2,2,2,N,7,0,1,N,6,N,6,1,1,25-00503,1,1,19,2,7,2,2,2,N,1,0,4,0,63.63636363636363
24,33,2,7,2,2,2,N,12,0,1,N,1,1,4,1,8,25-02800,1,2,64,2,7,2,2,2,N,1,0,2,9,63.63636363636363
25,64,2,7,2,2,2,N,5,0,1,6,1,0,N,1,7,25-00503,1,2,39,2,7,2,2,2,N,1,0,6,4,72.72727272727273
26,48,2,6,2,2,2,N,7,0,1,10,3,0,N,2,7,25-00703,1,2,68,2,6,2,1,2,N,1,0,N,8,72.72727272727273
27,70,2,7,2,2,2,N,11,0,1,N,3,0,3,1,2,25-02800,1,1,94,1,7,1,1,2,2,1,0,2,6,36.36363636363637
28,38,2,7,2,2,2,N,5,0,1,10,1,0,2,1,8,25-00503,1,2,70,2,7,2,2,2,N,1,0,2,2,81.81818181818183
29,33,2,7,2,2,2,N,7,0,1,2,1,0,5,1,5,25-00503,1,1,57,2,7,2,2,2,N,1,0,6,8,72.72727272727273
30,46,2,7,2,2,2,N,9,2,1,15,6,0,N,1,7,25-00503,1,1,21,2,7,2,2,2,N,1,0,2,1,72.72727272727273
31,46,2,7,2,2,2,N,7,0,1,14,6,0,3,1,4,25-00503,1,2,19,2,7,2,2,2,N,1,0,3,1,81.81818181818183
32,63,2,7,2,2,2,N,5,0,1,N,2,0,2,0,2,25-02800,1,1,94,1,7,2,1,1,N,2,N,N,0,27.27272727272727
33,55,2,7,2,2,1,N,7,0,1,16,1,0,2,2,6,25-00503,1,1,32,2,7,2,2,2,N,1,0,2,6,81.81818181818183
34,70,2,7,2,2,2,N,9,0,1,N,2,3,N,1,3,25-02800,1,1,67,2,7,2,2,2,N,1,2,6,0,63.63636363636363
35,17,2,7,2,2,2,N,5,0,1,13,6,0,N,1,6,25-00503,1,2,21,2,7,2,2,2,N,1,0,5,3,72.72727272727273
36,59,2,5,2,2,2,N,7,0,1,12,4,0,2,1,3,25-01300,1,2,51,2,5,2,2,2,N,1,0,4,5,72.72727272727273
37,45,2,5,2,2,2,N,7,0,1,14,3,0,4,1,7,25-01300,1,1,78,2,5,2,2,2,N,1,0,N,7,81.81818181818183
38,14,2,7,2,2,1,N,5,0,3,10,6,N,N,2,1,25-00503,1,2,22,2,7,2,2,2,N,1,0,N,0,54.54545454545454
39,23,2,7,2,2,2,N,9,0,1,3,6,1,3,1,8,25-02800,1,1,42,2,7,2,2,1,N,1,0,5,5,54.54545454545454
40,5,2,5,2,2,2,N,5,0,1,14,6,0,3,1,2,25-01300,1,2,20,2,5,2,2,2,N,1,0,3,0,81.81818181818183
41,20,2,6,2,2,2,N,5,0,1,9,1,2,3,1,7,25-01000,1,2,57,2,6,2,2,2,N,1,0,3,1,72.72727272727273
42,86,2,6,2,2,2,N,5,0,1,14,4,0,N,2,4,25-01000,1,2,55,2,6,2,2,2,N,1,0,N,3,81.81818181818183
43,33,2,6,2,2,2,N,10,0,1,12,6,1,4,1,3,25-01000,1,1,28,2,6,2,2,2,N,1,0,N,7,63.63636363636363
44,79,2,6,2,2,2,N,7,0,1,N,3,0,N,0,3,25-00703,1,1,94,1,6,1,1,2,2,2,N,N,3,36.36363636363637
45,26,2,7,2,2,1,N,9,0,1,4,6,3,3,1,9,25-00503,1,1,54,2,7,2,2,2,N,1,0,N,8,54.54545454545454
46,38,2,7,2,2,2,N,9,0,1,N,6,0,7,2,N,25-00503,1,2,94,2,7,2,1,2,N,1,0,N,4,63.63636363636363
47,17,2,6,2,2,2,N,9,0,3,N,6,N,N,0,3,25-01000,1,2,72,2,6,2,2,2,N,3,N,N,0,81.81818181818183
48,54,2,6,2,2,2,N,7,0,1,4,4,0,3,1,7,25-00703,1,1,53,2,6,2,2,2,N,1,0,3,8,81.81818181818183
49,76,2,6,2,1,1,N,8,0,1,N,1,0,2,2,6,25-01000,1,1,87,2,6,2,1,2,N,1,0,2,3,72.72727272727273
50,65,2,5,2,2,2,N,5,0,1,9,4,0,N,2,7,25-01300,1,1,60,1,5,2,2,2,N,1,0,N,8,72.72727272727273
51,63,2,7,2,1,2,N,7,0,1,N,2,0,N,2,2,25-00503,1,1,64,1,7,2,1,1,N,1,0,N,3,63.63636363636363
52,20,2,7,2,2,2,N,10,0,1,12,6,2,6,1,7,25-02800,1,2,39,2,7,2,2,2,N,1,0,N,8,63.63636363636363
53,72,2,6,2,2,2,N,10,0,1,12,3,0,3,1,7,25-00703,1,2,67,2,6,2,2,2,N,1,0,4,9,72.72727272727273
54,62,2,6,2,2,2,N,5,0,1,N,6,0,3,1,3,25-00703,1,1,19,2,6,2,2,2,N,1,1,4,0,63.63636363636363
55,60,2,6,2,2,2,N,8,0,1,7,1,0,4,1,8,25-01000,1,2,54,2,6,2,2,2,N,1,0,5,6,72.72727272727273
56,21,2,6,2,2,2,N,12,0,1,7,1,1,4,1,9,25-00703,1,1,79,2,6,2,2,2,N,1,0,2,4,63.63636363636363
57,62,2,6,2,2,2,N,5,0,1,11,4,0,2,2,6,25-01000,1,1,83,1,6,2,2,2,N,1,0,N,0,63.63636363636363
58,59,2,6,2,2,2,N,8,0,1,14,1,0,3,1,7,25-01000,1,1,71,2,6,2,2,2,N,1,0,2,5,72.72727272727273
59,73,2,7,2,2,2,N,5,0,1,10,1,1,3,1,7,25-00503,1,1,73,2,7,2,2,2,N,1,0,2,9,72.72727272727273
60,34,2,7,2,2,2,N,10,0,1,13,3,0,2,1,4,25-00503,1,2,66,2,7,2,2,2,N,1,0,N,8,72.72727272727273
61,31,2,6,2,2,2,N,4,0,1,4,1,0,3,1,8,25-01000,1,2,53,2,6,2,2,2,N,1,0,5,4,72.72727272727273
62,32,2,5,2,2,2,N,12,0,1,12,1,1,3,2,8,25-01300,6,2,35,2,5,2,2,2,N,1,0,2,9,63.63636363636363
63,38,2,7,2,2,2,N,8,0,1,6,6,0,4,1,6,25-00503,1,2,46,2,7,2,2,2,N,1,0,3,4,72.72727272727273
64,51,2,7,2,2,2,N,5,0,3,6,4,0,N,2,1,25-02800,1,1,60,2,7,2,2,2,N,1,0,2,4,63.63636363636363
65,55,2,6,2,2,2,N,8,0,1,2,1,0,2,1,7,25-00703,1,2,53,2,6,2,2,2,N,1,1,3,8,63.63636363636363
66,55,2,5,2,2,2,N,5,0,1,14,3,2,3,2,5,25-01300,1,2,49,2,5,2,2,2,N,1,0,N,3,63.63636363636363
67,48,2,7,2,2,2,N,9,0,1,13,1,0,3,1,8,25-02800,1,2,33,2,7,2,2,2,N,1,1,3,4,72.72727272727273
68,68,2,7,2,2,2,N,5,0,1,10,6,2,3,1,2,25-00503,1,2,57,2,7,2,2,2,N,1,0,2,7,63.63636363636363
69,67,2,7,2,2,2,N,5,0,1,14,6,0,N,2,7,25-00503,1,1,37,2,7,2,2,2,N,1,1,2,7,72.72727272727273
70,59,2,6,2,2,2,N,5,0,1,16,4,0,2,1,5,25-00703,1,2,77,2,6,2,2,2,N,1,0,N,7,72.72727272727273
71,51,2,6,2,2,2,N,9,0,1,8,4,0,N,1,7,25-00703,1,2,47,2,6,2,2,2,N,1,0,2,7,81.81818181818183
72,51,2,7,2,2,2,N,7,0,3,7,6,N,N,2,1,25-00503,1,2,33,2,7,2,2,2,N,1,2,3,2,54.54545454545454
73,49,2,6,2,2,2,N,7,0,1,4,6,N,N,1,0,25-01000,1,1,61,2,6,2,2,2,N,1,0,N,7,72.72727272727273
74,63,2,5,2,2,2,N,5,0,1,14,1,0,3,1,2,25-01300,1,1,64,2,5,2,2,2,N,1,0,2,6,72.72727272727273
75,63,2,6,2,2,2,N,7,0,1,13,1,0,2,1,7,25-01000,1,2,72,2,6,2,2,2,N,1,0,2,2,81.81818181818183
76,25,2,7,2,2,2,N,9,0,1,13,6,1,4,1,8,25-02800,1,1,29,2,7,2,2,2,N,1,0,2,2,63.63636363636363
77,36,2,6,2,2,2,N,9,0,1,9,1,1,3,2,7,25-01000,1,1,31,2,6,2,2,2,N,1,0,2,7,72.72727272727273
78,17,2,5,2,2,2,N,4,0,3,6,6,N,N,0,1,25-01300,1,1,68,2,5,2,2,1,N,3,N,N,4,72.72727272727273
79,72,2,7,2,1,1,N,5,0,2,N,3,N,N,0,3,25-02800,2,2,84,2,7,2,1,1,N,2,N,N,0,81.81818181818183
80,25,2,7,2,2,2,N,7,0,1,15,1,1,2,1,8,25-02800,1,1,75,2,7,2,2,2,N,1,0,2,1,72.72727272727273
