,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,33,2,N,11,3,6,0,1,6,2,25,2,N,3,1,80.0
1,39,2,N,8,1,4,1,6,8,1,38,2,N,1,6,80.0
2,73,2,N,9,1,3,2,9,2,1,65,2,N,1,4,60.0
3,60,1,N,7,1,2,2,2,5,2,28,2,N,1,0,40.0
4,64,2,N,3,1,2,2,0,6,1,28,2,N,1,1,60.0
5,33,2,N,11,1,2,1,8,2,2,37,2,N,1,6,60.0
6,52,2,N,10,1,5,2,4,8,2,60,2,N,1,2,60.0
7,78,2,N,11,1,3,1,7,2,1,44,2,N,1,1,60.0
8,47,1,N,12,1,5,2,9,1,1,50,2,N,1,9,60.0
9,53,2,N,3,1,5,2,5,2,2,74,1,N,1,2,40.0
10,14,2,N,4,1,2,1,N,8,1,54,2,N,1,3,60.0
11,84,2,N,11,1,3,1,9,6,1,89,2,N,1,6,60.0
12,60,2,N,9,1,5,2,1,8,2,36,2,N,1,3,60.0
13,27,1,N,3,1,5,2,3,1,1,43,2,N,1,6,40.0
14,80,2,N,1,1,6,1,3,6,1,53,2,N,1,0,60.0
15,65,2,N,5,1,1,2,7,5,1,48,2,N,1,5,60.0
16,25,2,N,3,3,6,0,0,3,1,15,2,N,2,0,60.0
17,65,1,N,4,1,3,2,2,8,1,76,2,N,1,3,40.0
18,37,2,N,1,1,6,2,3,9,2,82,1,N,1,2,40.0
19,61,1,N,6,2,4,0,0,1,2,69,2,N,2,2,40.0
20,42,2,N,7,3,4,0,0,6,1,55,2,N,3,2,60.0
21,35,2,N,11,1,6,1,9,9,1,69,2,N,1,7,60.0
22,51,2,N,7,1,5,1,0,6,2,27,2,N,1,4,60.0
23,76,2,N,4,1,1,1,0,5,1,67,2,N,1,6,60.0
24,11,2,N,3,3,N,0,N,9,1,10,2,N,2,N,60.0
25,34,2,N,10,1,6,1,5,3,2,30,2,N,1,4,60.0
26,70,2,N,5,1,6,1,5,7,1,21,2,N,1,0,60.0
27,50,2,N,8,1,5,2,6,1,2,76,2,N,1,2,60.0
28,36,2,N,8,2,4,0,6,1,2,36,2,N,2,0,80.0
29,52,2,N,10,1,2,2,8,9,2,56,2,N,1,9,60.0
30,76,2,N,9,1,2,1,6,8,1,35,2,N,1,7,60.0
31,33,2,N,9,2,4,0,0,8,2,42,2,N,2,0,80.0
32,31,2,N,7,1,5,2,3,3,2,49,2,N,1,2,60.0
33,49,2,N,6,1,4,1,3,9,1,25,2,N,1,2,60.0
34,83,2,N,9,1,2,1,2,3,2,42,2,N,1,7,60.0
35,72,2,N,6,2,3,0,2,1,1,71,2,5,2,2,60.0
36,91,2,N,3,2,5,1,3,1,1,38,2,N,1,4,40.0
37,46,2,N,5,1,2,1,5,9,2,79,2,N,1,5,80.0
38,49,2,N,6,1,6,2,5,6,2,79,2,N,1,5,80.0
39,58,2,N,7,1,2,1,8,6,1,59,2,N,1,4,60.0
40,73,2,N,1,1,3,1,N,8,1,76,2,N,1,0,60.0
41,35,2,2,1,1,2,1,N,8,1,61,2,N,1,6,40.0
42,60,2,N,11,1,4,1,1,8,2,45,2,N,1,6,60.0
43,33,2,N,12,3,6,0,0,1,1,72,2,N,3,5,60.0
44,61,2,N,8,1,4,2,2,9,1,62,2,N,1,2,80.0
45,33,1,N,5,2,2,0,0,6,1,30,2,N,2,0,60.0
46,70,2,N,8,1,3,1,6,3,2,93,2,N,1,4,60.0
