,feature,divergence
1,AGEP,3.849152542372881
14,PINCP,3.5828358208955224
15,PINCP_DECILE,2.3327320742260262
11,INDP,2.300899563318775
23,WGTP,2.236401058512203
22,PWGTP,1.950841750841751
12,INDP_CAT,1.788008733624454
2,SEX,1.0886806056236482
13,EDU,0.5006120398282634
3,MSP,0.36044212218649524
7,NPF,0.3290508871777703
16,POVPIP,0.198407710035617
6,NOC,0.1770271748472489
18,DREM,0.12760527435133986
19,DPHY,0.09146751839820366
9,OWN_RENT,0.043335878788601935
8,HOUSING_TYPE,0.03153907420995529
10,DENSITY,0.021560097087752084
0,PUMA,0.021560097087752084
5,RAC1P,0.019969870463936407
21,DEAR,0.014173742379978812
4,HISP,0.008911905268239474
20,DEYE,0.008098023219158717
17,DVET,0.0077027685312982055
