,EDU,HISP,INDP_CAT,MSP,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,PINCP_DECILE_y,percent_match
0,5,0,6,1,1,4,32-00405,1,1,6,0.0
1,10,0,9,4,2,5,36-04010,2,2,7,0.0
2,7,4,12,4,2,6,36-03710,8,2,5,0.0
3,1,0,N,N,1,N,24-01004,9,1,N,100.0
4,7,0,3,6,0,3,26-02702,1,1,3,100.0
5,9,0,N,6,0,0,13-04600,2,1,0,100.0
6,5,0,12,3,1,4,17-03531,2,2,5,0.0
7,9,0,9,1,1,5,13-04600,2,2,4,0.0
8,5,0,3,6,1,2,28-01100,2,1,7,0.0
9,8,0,12,6,1,1,17-03529,2,2,6,0.0
10,5,0,N,1,2,3,06-07502,6,2,2,0.0
11,5,1,6,1,2,8,32-00405,1,1,9,0.0
12,8,4,N,1,2,4,32-00405,8,2,2,0.0
13,5,0,10,4,1,1,30-00600,1,2,7,0.0
14,6,0,N,4,2,7,28-01100,2,2,3,0.0
15,7,1,3,1,2,8,06-07502,1,1,7,0.0
16,7,0,12,4,2,3,29-01901,2,2,2,0.0
17,5,0,12,6,1,6,38-00100,1,1,4,0.0
18,5,0,14,1,1,3,28-01100,2,1,8,0.0
19,8,0,12,1,1,2,36-04010,2,1,5,0.0
20,8,0,14,6,1,0,38-00100,1,1,3,0.0
21,10,0,N,6,1,0,17-03529,1,2,8,0.0
22,1,0,N,N,1,N,38-00100,9,1,N,100.0
23,9,0,10,6,2,4,51-01301,9,2,8,0.0
24,1,0,N,N,2,N,38-00100,9,2,N,100.0
25,9,4,N,1,2,7,24-01004,1,2,0,0.0
26,10,0,14,6,2,2,29-01901,1,2,3,0.0
27,7,0,N,3,2,3,32-00405,1,1,3,100.0
28,4,0,N,1,1,0,32-00405,2,2,3,0.0
29,7,0,N,4,1,2,29-01901,2,1,2,100.0
30,9,0,6,6,1,6,51-01301,1,2,4,0.0
31,9,0,6,6,2,7,06-07502,6,1,1,0.0
32,6,0,12,6,2,8,36-03710,2,1,5,0.0
33,11,0,16,4,1,9,24-01004,1,2,9,100.0
34,6,0,13,1,1,3,38-00100,1,2,0,0.0
35,10,0,16,1,2,5,51-01301,6,1,9,0.0
36,9,0,14,1,2,8,08-00803,1,1,1,0.0
37,3,1,N,N,2,N,30-00600,1,1,N,100.0
38,11,0,9,1,1,9,06-08507,1,1,9,100.0
39,7,0,15,6,2,0,28-01100,1,2,4,0.0
40,7,0,12,1,2,6,30-00600,1,2,0,0.0
41,3,0,N,N,2,N,51-51255,6,1,N,100.0
42,1,4,N,N,2,N,32-00405,8,2,N,100.0
43,8,0,6,4,1,4,30-00600,1,1,7,0.0
44,7,0,3,1,2,3,19-01700,1,1,3,100.0
45,3,1,N,N,2,N,01-01301,1,2,N,100.0
46,4,0,N,6,1,0,32-00405,9,1,0,100.0
47,9,0,16,4,1,8,40-00200,1,2,9,0.0
48,9,0,3,4,1,5,38-00100,1,2,3,0.0
49,7,1,6,6,2,5,17-03529,1,1,4,0.0
50,9,0,11,1,1,2,24-01004,2,2,1,0.0
51,11,0,11,6,2,8,26-02702,1,1,3,0.0
52,8,0,16,1,1,7,40-00200,1,2,5,0.0
53,N,0,N,N,2,N,51-01301,2,2,N,100.0
54,7,0,N,6,2,0,32-00405,2,1,2,0.0
55,7,0,N,1,1,0,32-00405,1,1,6,0.0
56,9,0,4,1,1,6,28-01100,1,1,9,0.0
57,3,0,N,6,1,4,19-01700,1,1,0,0.0
58,7,0,14,6,2,4,36-04010,2,2,3,0.0
59,1,0,N,1,1,2,28-01100,2,2,3,0.0
60,10,0,11,3,1,9,06-07502,1,1,9,100.0
61,7,0,6,6,2,3,24-01004,1,2,6,0.0
62,12,0,11,1,2,6,51-51255,1,1,8,0.0
63,7,0,9,6,2,9,06-07502,1,2,9,100.0
64,10,0,10,1,1,9,30-00600,1,1,9,100.0
65,4,0,N,4,2,4,36-04010,2,1,3,0.0
66,9,0,10,2,1,9,51-01301,1,1,8,0.0
67,N,0,N,N,1,N,51-01301,9,2,N,100.0
68,2,0,N,N,1,N,51-01301,6,1,N,100.0
69,10,0,14,1,1,9,06-08507,1,1,9,100.0
70,5,0,N,4,2,0,32-00405,2,1,2,0.0
71,4,4,N,6,2,0,36-03710,1,1,0,100.0
72,9,0,13,6,2,4,38-00100,1,2,6,0.0
73,4,0,N,5,2,3,29-01901,2,2,2,0.0
74,10,0,16,4,1,9,24-01004,1,1,9,100.0
75,9,0,2,1,2,9,51-01301,1,1,8,0.0
76,9,0,4,6,2,5,28-01100,2,1,6,0.0
77,10,0,4,1,1,8,28-01100,1,1,9,0.0
78,9,0,9,4,1,7,29-01901,2,1,3,0.0
79,N,4,N,N,2,N,24-01004,9,2,N,100.0
80,5,0,8,1,1,9,19-01700,1,1,8,0.0
81,6,0,N,4,2,2,01-01301,2,2,5,0.0
82,3,0,N,N,2,N,40-00200,9,1,N,100.0
83,4,0,N,N,1,N,19-01700,1,2,N,100.0
84,10,0,16,1,1,8,30-00600,3,2,6,0.0
85,10,0,6,6,2,3,06-07502,6,2,9,0.0
86,12,0,10,1,1,9,08-00803,6,1,9,100.0
87,5,0,9,1,2,9,06-07502,1,1,8,0.0
