SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
2,6,9,0,3,0,17-03529,18,0,N,N
2,1,1,2,8,0,51-51255,70,2,5,501
1,1,1,1,4,0,30-00600,66,0,2,180
1,6,6,1,4,0,06-08507,27,0,3,214
2,1,6,1,9,0,06-08507,31,0,2,501
2,1,1,0,2,0,40-00200,41,0,2,90
2,1,1,1,N,0,51-01301,62,0,2,232
2,1,2,2,2,0,01-01301,61,2,4,73
1,1,1,2,2,0,24-01004,76,3,4,501
1,1,1,2,4,0,19-01700,53,0,2,375
2,6,1,1,0,0,19-01700,26,3,5,63
1,6,1,1,0,0,29-01901,19,0,N,N
1,1,1,1,N,0,06-07502,59,0,2,501
2,5,2,1,5,4,32-00405,41,N,N,278
2,1,1,2,0,0,13-04600,57,0,3,0
2,6,3,1,9,0,40-00200,28,N,N,501
1,1,1,1,7,4,38-00100,51,0,2,501
2,6,1,2,1,0,17-03529,22,0,N,304
2,1,1,1,0,0,51-01301,49,2,5,501
1,6,2,1,N,0,06-07502,40,2,4,6
1,6,1,0,2,0,17-03529,46,0,N,N
2,1,1,1,N,0,51-01301,65,0,2,495
2,1,1,2,8,0,38-00100,54,2,4,501
1,6,1,1,3,0,40-00200,31,0,3,241
2,1,1,1,0,0,38-00100,69,0,2,298
1,3,9,2,N,0,24-01004,77,0,N,318
1,6,1,0,0,0,40-00200,21,0,N,N
2,1,1,1,6,0,08-00803,62,1,3,501
2,1,1,2,N,0,17-03529,37,0,2,501
1,3,1,1,6,0,32-00405,80,0,N,374
2,6,1,2,6,0,19-01700,25,0,2,367
1,2,1,1,7,0,06-08507,33,0,3,501
2,1,2,1,0,0,01-01301,55,0,2,501
2,2,1,2,N,0,26-02702,35,0,N,88
2,6,2,2,N,0,13-04600,17,0,4,229
1,6,9,1,8,0,51-51255,31,0,N,501
2,1,2,1,3,0,01-01301,68,4,5,94
1,N,1,2,5,0,38-00100,6,0,3,303
2,N,1,2,1,0,32-00405,5,1,12,475
2,4,2,2,5,0,17-03531,57,0,N,235
1,N,2,2,2,0,36-03710,9,6,7,126
2,3,6,2,0,0,24-01004,58,0,N,0
1,1,2,1,8,0,51-51255,69,0,2,501
2,6,1,1,N,0,51-01301,17,0,N,501
1,1,3,2,N,0,40-00200,65,0,2,127
2,N,1,1,8,0,06-08507,13,0,5,501
2,6,1,2,0,0,30-00600,16,0,3,0
2,6,2,1,2,0,17-03529,20,N,N,246
2,6,1,2,N,0,30-00600,18,7,6,409
1,6,1,1,N,0,30-00600,22,0,N,501
1,1,1,1,9,0,06-08507,47,2,4,501
2,2,1,1,8,0,40-00200,75,2,4,295
1,4,1,2,2,2,32-00405,40,0,N,179
1,N,1,2,2,0,19-01700,1,5,6,205
2,N,2,2,7,0,28-01100,12,0,3,64
2,N,1,2,2,0,19-01700,3,1,3,288
