PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
25-01300,68,2,1,0,1,0,2,1,1,1484.8000000000002,N,12,8,423400.0,5,501,N,2,2,2,2,83.60000000000001,153.60000000000002
25-02800,74,2,3,0,1,0,2,1,1,3635.2000000000003,7380,N,5,N,4,501,N,2,2,2,2,83.60000000000001,51.2
25-01000,6,2,N,0,1,2,4,1,1,2406.4,3990,N,2,125000.0,N,128,N,2,2,2,2,83.60000000000001,51.2
25-01000,10,1,N,0,1,N,3,1,1,2406.4,7380,N,3,0.0,N,501,N,2,2,2,2,83.60000000000001,51.2
25-02800,11,1,3,0,1,0,N,1,1,3635.2000000000003,6070,N,5,N,4,501,N,2,2,1,2,83.60000000000001,51.2
25-00503,15,1,6,0,1,3,6,1,1,3020.7999999999997,4680,N,3,N,N,501,N,2,2,2,2,83.60000000000001,51.2
25-00503,36,1,1,0,1,0,4,1,1,3020.7999999999997,8564,8,10,0.0,9,344,N,2,2,2,2,83.60000000000001,51.2
25-02800,63,2,1,0,1,0,2,1,2,3635.2000000000003,N,8,5,3000.0,3,501,2,2,2,2,2,83.60000000000001,51.2
25-00503,48,1,1,0,1,2,4,1,1,3020.7999999999997,N,4,3,54000.0,9,501,N,2,2,2,2,386.0,358.4
25-01300,66,1,1,0,1,0,2,1,1,1484.8000000000002,7870,N,10,42490.0,0,501,N,2,2,2,2,33.2,51.2
25-00503,21,2,6,0,1,N,N,2,0,3020.7999999999997,8370,N,7,N,2,N,N,2,2,2,2,33.2,51.2
25-01300,46,1,4,0,1,0,2,1,1,1484.8000000000002,N,15,7,5400.0,5,501,N,N,2,2,2,83.60000000000001,51.2
25-01300,5,1,N,0,1,N,N,1,2,1484.8000000000002,N,N,3,79000.0,N,109,N,2,2,2,2,234.8,256.0
25-00703,74,2,1,4,1,0,2,1,1,2099.2,N,12,11,N,9,501,N,2,2,2,2,83.60000000000001,51.2
25-01000,73,2,4,0,1,0,N,1,1,2406.4,N,N,5,9160.0,4,501,N,2,2,2,2,134.0,153.60000000000002
25-00703,47,2,4,0,1,N,N,3,0,2099.2,7870,N,7,42800.0,3,N,N,2,2,2,2,83.60000000000001,51.2
25-00703,21,1,6,0,1,N,N,3,0,2099.2,7460,15,4,52000.0,2,N,N,2,2,2,2,83.60000000000001,51.2
25-01000,42,2,1,0,1,1,4,1,1,2406.4,N,12,8,40000.0,8,478,N,2,2,2,2,83.60000000000001,51.2
25-00503,40,2,1,0,6,1,2,1,1,3020.7999999999997,8090,6,9,54000.0,0,501,N,2,2,2,2,134.0,51.2
25-00703,17,2,6,0,1,1,4,1,1,2099.2,N,N,4,21000.0,0,501,N,2,2,2,2,83.60000000000001,153.60000000000002
25-01000,41,2,1,0,3,4,6,1,1,2406.4,7860,10,11,12000.0,9,501,N,2,2,2,2,83.60000000000001,51.2
25-00503,11,1,N,0,2,2,4,1,1,3020.7999999999997,N,N,3,74300.0,N,501,N,2,2,2,2,83.60000000000001,51.2
