HISP,SEX,DEAR,PINCP,NOC,EDU,RAC1P,DEYE,DPHY,DENSITY,MSP,POVPIP,HOUSING_TYPE,OWN_RENT,NPF,AGEP,PINCP_DECILE,DVET,INDP_CAT,PUMA,DREM
0,1,2,N,3,8,9,2,N,1484.8000000000002,4,501,1,1,4,50,4,N,14,25-01300,N
0,1,2,30000.0,N,7,1,2,2,3020.7999999999997,6,N,3,0,N,20,2,N,12,25-00503,2
0,1,2,38000.0,N,5,1,2,2,1484.8000000000002,6,N,2,0,N,19,2,N,3,25-01300,2
0,1,2,N,0,5,1,2,2,3020.7999999999997,4,317,1,2,N,61,0,N,N,25-00503,2
0,1,2,56540.0,0,7,1,2,2,2099.2,1,501,1,2,2,56,6,N,9,25-00703,2
0,2,2,3700.0,0,8,1,2,2,2406.4,1,501,1,1,2,71,4,N,11,25-01000,2
0,1,2,25000.0,1,5,1,2,2,3635.2000000000003,1,360,1,1,4,48,9,N,3,25-02800,2
0,2,2,N,1,9,1,2,2,3020.7999999999997,1,501,1,2,2,43,9,N,12,25-00503,2
0,2,2,58000.0,0,1,1,2,2,2406.4,1,501,1,1,3,70,3,N,14,25-01000,2
0,1,2,235000.0,2,3,8,2,2,2099.2,N,501,1,1,4,11,N,N,N,25-00703,2
0,2,2,99000.0,0,12,1,2,2,3020.7999999999997,1,138,1,1,4,52,8,N,4,25-00503,2
0,2,2,39000.0,0,5,1,2,2,3635.2000000000003,1,501,1,1,6,70,1,N,N,25-02800,2
0,2,1,10000.0,N,5,1,2,1,3020.7999999999997,5,N,3,0,N,82,1,N,13,25-00503,2
0,2,2,90000.0,N,10,1,2,2,3020.7999999999997,6,N,3,0,N,42,1,N,9,25-00503,1
0,2,2,N,2,3,1,2,2,3020.7999999999997,N,501,1,1,4,10,N,N,N,25-00503,2
0,2,2,56000.0,1,10,1,2,2,3635.2000000000003,1,501,1,1,2,49,9,N,12,25-02800,2
0,1,2,N,1,4,1,2,2,2406.4,6,501,1,1,3,16,5,N,6,25-01000,2
0,2,2,52600.0,1,6,1,2,2,3020.7999999999997,4,501,1,1,3,43,1,N,14,25-00503,2
0,2,2,170000.0,0,12,1,2,2,2099.2,1,0,1,2,2,63,4,N,12,25-00703,2
4,2,2,N,N,5,1,2,2,1484.8000000000002,6,N,3,0,N,20,1,N,14,25-01300,2
0,2,2,58000.0,0,9,1,2,2,1484.8000000000002,4,501,1,1,2,61,3,N,11,25-01300,1
0,1,2,455000.0,0,6,1,2,2,3020.7999999999997,1,501,1,1,2,68,5,N,3,25-00503,2
0,2,2,0.0,0,5,1,2,1,2099.2,1,421,1,1,4,61,0,N,N,25-00703,2
0,2,2,20000.0,0,7,1,2,2,2406.4,1,501,1,1,2,61,2,N,N,25-01000,2
0,1,2,0.0,0,9,1,2,2,1484.8000000000002,1,304,1,1,2,44,3,N,N,25-01300,2
0,2,2,104000.0,2,N,1,2,N,2406.4,N,493,1,1,4,1,N,N,N,25-01000,N
0,2,2,58400.0,0,10,1,2,2,2406.4,4,204,1,1,N,43,8,N,11,25-01000,2
0,2,2,13900.0,0,12,1,2,2,2099.2,1,91,1,1,2,50,6,N,11,25-00703,2
0,1,2,0.0,2,5,1,2,2,2099.2,1,501,1,1,4,53,9,N,6,25-00703,2
0,2,2,25000.0,0,9,1,2,2,3020.7999999999997,6,291,1,2,N,49,3,N,6,25-00503,2
0,1,2,0.0,0,9,1,2,2,3635.2000000000003,4,213,1,1,2,58,3,N,8,25-02800,2
0,2,2,4100.0,2,2,1,2,2,3020.7999999999997,N,366,1,1,4,5,N,N,N,25-00503,2
0,1,2,0.0,0,5,6,2,2,3020.7999999999997,4,431,1,1,4,74,6,N,3,25-00503,2
0,2,2,59250.0,0,5,1,2,2,2099.2,3,501,1,1,3,65,9,N,12,25-00703,2
0,1,2,0.0,0,8,1,2,2,2099.2,1,66,1,2,2,52,8,N,10,25-00703,2
0,2,2,433000.0,3,4,1,2,2,3635.2000000000003,4,417,1,1,4,15,3,N,N,25-02800,1
0,1,2,62000.0,2,3,1,2,2,3635.2000000000003,N,501,1,2,4,11,N,N,N,25-02800,2
0,1,2,16000.0,0,5,1,2,2,1484.8000000000002,4,501,1,1,N,43,5,N,3,25-01300,2
0,1,2,1000.0,1,4,2,2,2,2099.2,6,378,1,2,3,16,1,N,15,25-00703,2
0,2,2,N,0,9,1,2,2,2099.2,1,501,1,1,2,64,0,N,8,25-00703,2
0,1,2,1000.0,0,9,1,2,2,2099.2,6,114,1,2,N,60,6,N,16,25-00703,2
0,2,2,N,N,7,1,2,2,2099.2,6,N,3,0,N,20,0,N,9,25-00703,2
3,1,2,N,0,5,1,2,2,1484.8000000000002,6,266,1,1,3,27,5,N,3,25-01300,2
0,2,2,43100.0,0,9,1,2,2,3635.2000000000003,3,91,1,2,2,85,4,N,11,25-02800,2
2,1,2,125000.0,2,1,1,2,N,2406.4,N,501,1,1,4,3,N,N,N,25-01000,1
0,1,2,84400.0,2,5,1,2,2,1484.8000000000002,1,298,1,2,4,39,4,N,6,25-01300,2
0,1,1,0.0,0,6,1,2,2,2099.2,5,64,1,2,2,81,3,N,7,25-00703,2
0,2,2,51000.0,0,8,1,2,2,3635.2000000000003,1,417,1,1,3,50,6,N,10,25-02800,2
0,1,2,87900.0,0,9,1,2,2,2099.2,1,398,1,1,3,52,8,N,8,25-00703,2
0,1,2,4000.0,0,8,1,2,2,3635.2000000000003,1,296,1,2,2,39,3,N,N,25-02800,1
0,2,2,37600.0,0,7,1,2,2,2406.4,1,150,1,1,4,53,5,N,15,25-01000,2
0,2,2,7700.0,3,4,1,2,2,1484.8000000000002,6,45,1,1,5,17,1,N,14,25-01300,2
0,2,2,0.0,0,9,1,2,2,3020.7999999999997,1,501,1,2,2,63,3,N,6,25-00503,2
0,2,2,329500.0,2,3,1,2,2,2406.4,6,501,1,1,4,15,2,N,N,25-01000,2
0,1,2,90000.0,0,7,1,2,2,2099.2,1,233,1,1,2,65,1,N,6,25-00703,2
0,2,2,31800.0,0,7,1,2,2,2099.2,1,501,1,1,3,71,5,N,10,25-00703,2
0,2,2,56800.0,2,2,1,2,2,3020.7999999999997,N,501,1,1,4,5,N,N,N,25-00503,2
0,2,2,0.0,0,7,1,2,2,1484.8000000000002,6,330,1,1,2,19,1,N,12,25-01300,2
0,1,2,N,0,7,1,2,2,2099.2,6,501,1,1,2,21,8,N,2,25-00703,2
0,2,2,2230.0,N,6,1,2,2,2099.2,5,N,3,0,N,79,1,N,12,25-00703,2
