,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,64,2,N,9,1,5,1,9,6,1,44,2,N,1,5,60.0
1,28,2,N,9,1,4,2,6,2,1,56,2,N,1,8,60.0
2,23,2,N,6,2,6,0,1,8,1,28,2,N,2,2,60.0
3,84,1,N,11,1,3,1,7,1,1,76,2,N,1,5,40.0
4,5,2,N,1,1,N,2,N,2,1,4,2,N,1,N,80.0
5,23,2,N,10,1,6,2,2,2,2,30,2,2,1,3,40.0
6,32,2,N,4,1,1,2,4,2,2,53,2,N,1,3,60.0
7,48,2,N,1,1,6,1,0,1,2,37,2,N,1,0,80.0
8,23,2,N,9,1,6,2,6,8,1,27,2,N,1,1,60.0
9,14,2,N,2,1,N,2,N,8,1,3,2,N,1,N,80.0
10,8,2,N,3,1,N,2,N,3,1,14,2,N,1,N,80.0
11,65,2,N,7,2,4,0,1,9,2,39,2,N,2,0,60.0
12,74,2,N,7,1,5,1,3,2,2,66,2,N,1,5,60.0
13,40,2,N,3,1,1,1,0,5,2,52,2,N,1,0,80.0
14,77,2,N,8,3,4,0,4,2,1,42,2,N,3,8,60.0
15,63,2,2,5,1,1,1,4,5,1,63,2,N,1,5,60.0
16,52,2,N,3,1,2,1,2,8,1,55,2,N,1,3,60.0
17,48,2,N,6,3,6,0,0,9,2,51,2,N,2,0,60.0
18,81,2,N,9,1,3,1,6,9,2,72,2,N,1,5,60.0
19,5,2,N,1,1,N,2,N,8,2,5,2,N,1,N,100.0
20,5,2,N,2,1,N,2,N,8,2,6,2,N,1,N,80.0
21,49,2,N,6,1,6,1,6,2,2,23,1,N,1,2,40.0
22,44,2,N,3,1,1,1,0,6,1,70,2,N,1,3,60.0
23,21,2,N,5,2,6,0,0,2,2,60,2,N,2,0,80.0
24,36,2,N,7,1,1,2,6,6,1,67,2,N,1,3,60.0
25,23,2,N,3,1,6,1,2,2,2,15,2,N,1,0,60.0
26,27,2,N,1,1,6,2,2,1,2,38,2,N,1,0,60.0
27,49,2,N,4,1,1,2,3,9,2,31,2,N,1,5,60.0
28,67,2,N,9,1,4,1,9,9,1,72,2,N,1,9,80.0
29,53,2,N,3,1,1,2,4,1,1,78,2,N,1,3,60.0
30,3,2,N,1,1,N,2,N,2,2,3,2,N,1,N,100.0
31,48,2,N,1,1,6,1,0,1,1,47,1,N,1,3,40.0
32,63,2,N,10,1,4,2,7,6,2,63,2,N,1,9,80.0
33,66,2,N,10,1,2,2,8,2,1,52,2,5,1,9,40.0
34,46,2,N,9,1,4,2,3,9,2,36,2,N,1,8,60.0
35,36,2,N,10,1,4,2,7,2,1,42,2,N,1,7,80.0
36,79,2,5,7,1,5,1,4,2,1,30,2,N,1,4,60.0
37,0,2,N,5,1,3,2,4,2,1,78,2,N,1,4,80.0
38,21,2,N,5,1,6,2,2,9,1,23,2,N,1,2,80.0
39,74,2,N,3,1,2,2,3,1,1,40,2,N,1,5,60.0
40,15,2,N,3,1,6,1,0,2,1,20,2,N,1,0,80.0
41,60,2,N,8,1,5,1,0,1,1,34,2,N,1,7,60.0
42,11,2,N,3,2,N,0,N,1,2,9,2,N,2,N,80.0
43,11,2,N,6,2,5,0,4,1,2,48,2,N,2,3,60.0
44,2,2,N,N,1,N,2,N,8,2,2,2,N,1,N,100.0
45,5,2,N,2,1,N,2,N,9,2,4,2,N,1,N,80.0
46,24,2,N,7,1,6,1,5,3,1,21,2,N,1,0,60.0
47,71,2,N,5,1,2,1,4,2,2,42,2,N,1,0,60.0
48,36,2,N,7,3,6,0,0,6,2,21,2,N,3,2,60.0
