,Target samples,Deid. samples
0,85,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,19,2
11,0,0
12,0,0
13,0,0
14,19,3
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,8,2
21,23,6
22,0,0
23,0,0
24,50,16
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,9,4
32,0,0
33,0,0
34,0,0
35,20,11
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,193,144
44,0,0
45,39,32
46,456,382
47,2015,1782
48,0,0
49,0,0
50,7,7
51,4198,4304
52,0,0
53,0,0
54,0,0
55,56,69
56,386,487
57,8,11
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,1,2
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,2,6
76,33,103
77,0,0
78,0,0
79,4,15
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,3,27
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,174
