"AGEP","RAC1P","MSP","SEX","HOUSING_TYPE","OWN_RENT","DVET","DEYE","PINCP_DECILE","EDU"
"65","1","3","2","1","2","N","2","4","5"
"67","1","1","1","1","1","N","2","9","10"
"14","1","N","1","1","2","N","2","N","3"
"80","1","1","2","1","1","N","2","3","5"
"46","1","1","1","1","1","N","2","9","11"
"78","1","1","2","1","1","N","2","6","7"
"18","1","6","1","3","0","N","2","0","7"
"31","1","6","2","1","2","N","2","5","9"
"64","1","4","2","1","1","N","2","3","9"
"42","6","1","2","1","2","N","2","9","10"
"53","3","6","2","1","1","N","2","3","10"
"1","1","N","2","1","2","N","2","N","N"
"7","9","N","2","1","2","N","2","N","3"
"67","9","1","1","1","1","N","2","5","4"
"19","1","6","1","3","0","N","2","0","7"
"4","1","N","2","1","2","N","2","N","2"
"36","1","5","2","1","2","N","2","2","5"
"39","1","6","2","1","1","N","2","3","9"
"37","1","1","1","1","2","N","2","8","7"
"36","6","5","2","1","1","N","2","2","9"
"76","6","1","2","1","1","N","2","0","5"
"4","1","N","1","1","1","N","2","N","2"
"56","3","1","1","1","2","N","2","0","5"
"33","1","6","2","1","1","N","2","9","10"
"9","6","N","2","1","1","N","2","N","3"
"62","1","1","1","1","1","N","2","9","8"
"41","1","6","2","1","2","N","2","5","10"
"46","1","1","2","1","1","N","2","8","8"
"1","2","N","1","1","2","N","2","N","N"
"11","1","N","2","1","1","N","2","N","3"
"26","1","6","1","1","1","N","2","8","9"
"69","1","1","2","1","1","N","2","7","7"
"9","2","N","1","1","2","N","2","N","3"
"4","6","N","1","1","2","N","2","N","1"
"7","9","N","1","1","1","N","2","N","3"
"8","2","N","2","1","1","N","2","N","N"
"56","3","4","2","1","1","N","2","4","5"
"36","2","5","2","1","2","N","2","2","5"
"81","1","3","1","1","1","N","2","4","5"
"25","2","6","1","1","2","N","2","2","9"
"46","1","6","2","1","1","N","2","9","11"
"58","1","1","2","1","1","N","2","6","5"
"60","2","4","2","1","2","N","2","4","8"
"35","2","6","2","1","2","N","2","5","4"
"60","1","1","1","1","1","N","2","8","5"
"46","1","1","1","1","1","N","2","9","10"
"28","2","6","1","1","1","N","2","7","10"
"58","1","1","1","1","1","N","2","9","10"
"76","2","6","1","3","0","N","2","2","9"
"62","2","4","1","1","2","N","2","3","5"
"18","1","6","1","3","0","N","2","0","4"
"11","2","N","2","1","2","N","2","N","3"
"16","2","6","2","1","2","N","2","1","4"
"76","1","1","2","1","1","N","2","1","9"
"2","6","N","2","1","1","N","2","N","N"
"76","1","6","2","1","1","N","2","2","5"
"64","1","4","2","1","1","N","2","5","9"
"1","2","N","1","1","1","N","2","N","N"
"65","2","3","1","1","1","N","1","3","8"
"19","1","4","2","1","1","N","2","7","5"
"56","1","4","1","1","1","N","2","8","4"
"43","1","1","2","1","1","N","2","8","9"
"21","2","6","2","1","2","N","2","1","7"
"24","3","6","2","1","1","N","2","4","7"
