,feature,divergence
1,AGEP,1.4792445594861465
13,PINCP,0.9717433425251785
12,EDU,0.34798057777985725
14,PINCP_DECILE,0.2550058439422468
11,INDP_CAT,0.24837110987031857
15,POVPIP,0.11597026577784003
7,NPF,0.10280669912397972
3,MSP,0.06412466158858353
6,NOC,0.06327042047324116
5,RAC1P,0.039778186288950954
9,OWN_RENT,0.03248913845848743
18,DPHY,0.015184466727389226
10,DENSITY,0.013886877620290526
17,DREM,0.013501344063909668
8,HOUSING_TYPE,0.00873409376026918
4,HISP,0.008117058394382648
2,SEX,0.0068166325835037345
19,DEYE,0.005647295291308235
16,DVET,0.004432963670243561
0,PUMA,0.004225587155479826
20,DEAR,0.0037878787878787845
