,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,N,1,1,6,2,4,9,2,N,1,2,66.66666666666666
1,N,12,3,2,0,8,1,1,N,3,8,100.0
2,N,10,1,2,2,1,3,2,N,1,2,66.66666666666666
3,N,5,1,4,1,6,8,1,N,1,5,66.66666666666666
4,N,9,1,2,1,6,8,2,N,1,4,66.66666666666666
5,N,3,1,2,1,2,6,1,N,1,2,100.0
6,N,9,2,6,0,5,9,1,N,3,1,33.33333333333333
7,N,5,2,5,0,1,2,1,N,3,1,66.66666666666666
8,N,9,1,4,1,6,8,2,N,1,0,66.66666666666666
9,N,9,3,2,0,0,6,2,N,2,0,66.66666666666666
10,N,10,2,6,0,1,6,1,N,3,8,33.33333333333333
11,N,10,1,4,2,5,8,2,N,1,9,66.66666666666666
12,N,1,1,6,1,0,6,1,N,1,0,100.0
13,N,5,3,2,0,0,8,1,N,2,0,66.66666666666666
14,N,11,1,2,1,9,6,1,N,1,8,66.66666666666666
15,N,2,1,1,2,N,1,2,N,1,3,66.66666666666666
16,N,8,2,6,0,0,6,1,N,3,1,33.33333333333333
17,N,9,1,2,1,8,8,1,N,1,7,66.66666666666666
18,N,2,1,6,1,2,1,1,N,1,0,66.66666666666666
19,N,1,1,2,2,0,8,1,N,1,4,66.66666666666666
20,N,12,1,3,1,9,6,1,N,1,9,100.0
21,N,11,1,2,1,5,2,2,N,1,6,66.66666666666666
22,N,3,1,5,2,2,6,2,N,1,1,66.66666666666666
23,N,6,1,5,1,3,3,2,N,1,6,66.66666666666666
24,N,7,1,4,2,5,6,1,N,1,7,66.66666666666666
25,N,3,1,2,1,0,8,2,N,1,8,66.66666666666666
26,N,1,1,1,1,0,3,1,N,1,7,66.66666666666666
27,N,6,1,1,2,6,9,2,N,1,0,66.66666666666666
28,N,3,3,5,0,0,2,2,N,3,4,66.66666666666666
29,N,5,1,3,2,3,3,1,N,1,1,66.66666666666666
30,N,6,3,2,0,0,2,1,N,2,7,33.33333333333333
31,N,8,1,2,2,2,1,2,N,1,9,66.66666666666666
32,N,10,3,2,0,0,6,1,N,2,7,33.33333333333333
33,N,4,1,N,1,N,8,2,N,1,N,100.0
34,N,4,1,5,1,1,3,1,N,1,3,66.66666666666666
35,N,4,1,4,1,6,3,2,N,1,3,66.66666666666666
36,N,3,3,6,0,0,6,2,N,3,0,100.0
37,N,4,1,N,2,N,8,1,N,1,N,100.0
38,N,3,1,2,1,0,2,1,N,1,3,66.66666666666666
39,N,2,1,1,1,N,1,2,N,1,0,66.66666666666666
40,N,5,1,2,2,4,3,2,N,1,4,100.0
41,N,7,3,4,0,2,5,1,N,2,3,33.33333333333333
42,N,8,1,4,1,6,8,2,N,1,7,66.66666666666666
43,N,9,1,5,2,6,8,1,N,1,7,66.66666666666666
44,N,4,1,2,2,0,6,1,N,1,4,66.66666666666666
45,N,10,1,5,2,8,8,2,N,1,2,66.66666666666666
