SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
2,1,1,2,4,0,25-00703,60,0,3,361
2,6,1,1,6,0,25-01000,32,0,3,483
1,6,1,2,5,0,25-01000,17,2,4,73
2,1,6,1,6,0,25-00503,0,1,3,88
2,1,1,2,6,0,25-01000,43,1,2,435
2,5,1,1,0,0,25-00703,16,0,6,240
2,1,1,1,5,0,25-02800,86,0,2,297
2,6,1,1,9,0,25-01300,73,0,2,264
1,4,1,1,2,0,25-00503,23,0,N,143
2,4,1,2,9,0,25-02800,76,0,2,179
1,6,1,1,9,0,25-01000,66,3,2,501
2,1,7,2,2,0,25-02800,47,0,4,164
1,6,1,1,6,0,25-01000,17,0,2,355
2,1,1,2,9,0,25-01000,49,0,2,243
1,6,6,1,3,0,25-02800,8,0,N,472
1,1,1,1,7,0,25-01300,82,2,4,0
1,6,1,2,0,0,25-01000,55,2,2,236
1,1,2,1,2,0,25-01300,75,2,5,158
2,1,1,1,9,0,25-01000,24,4,3,501
1,1,1,1,5,0,25-00503,19,0,4,161
2,3,1,1,0,0,25-01300,25,0,2,380
2,1,1,1,0,0,25-01000,78,0,2,36
1,5,1,2,7,2,25-01300,52,2,5,81
1,4,1,1,1,0,25-00703,18,0,6,8
2,6,1,2,4,2,25-02800,54,0,N,340
1,1,1,2,9,0,25-02800,45,0,4,219
2,6,1,1,1,0,25-01000,13,0,3,397
2,1,1,1,3,0,25-00703,27,0,N,501
1,N,1,1,5,0,25-02800,5,3,4,321
1,1,1,1,2,0,25-00703,62,0,4,397
2,1,3,1,1,0,25-00703,65,3,4,318
1,4,1,1,7,0,25-02800,0,2,N,309
2,1,1,2,3,0,25-00703,57,0,2,422
2,4,1,1,3,0,25-02800,69,0,2,501
2,4,9,1,6,4,25-00703,56,0,N,194
1,6,6,1,3,0,25-01300,71,1,5,480
2,6,1,1,5,0,25-01000,82,0,4,76
2,1,1,1,1,0,25-02800,68,0,N,389
1,1,1,1,1,2,25-01000,75,0,2,216
2,1,1,1,4,0,25-00703,35,0,2,460
1,1,1,2,0,0,25-00703,38,1,3,387
1,1,1,1,5,0,25-02800,33,2,7,198
1,1,1,2,2,0,25-00703,43,2,N,314
2,1,1,2,6,0,25-00703,56,0,N,0
2,6,1,1,5,0,25-01300,20,0,N,0
2,6,1,2,4,0,25-00703,50,2,2,470
1,6,1,1,2,0,25-00703,53,0,4,380
1,3,1,1,3,0,25-00503,84,5,2,159
2,1,1,1,4,0,25-00503,17,0,N,355
1,6,1,1,3,0,25-01300,36,0,2,391
1,1,1,2,2,0,25-01300,45,0,4,411
2,N,1,1,4,0,25-00703,38,0,5,203
1,1,1,1,4,1,25-01000,33,0,2,451
2,1,1,1,1,0,25-01300,56,0,3,501
1,1,1,1,6,0,25-00503,65,0,5,61
2,1,1,2,6,0,25-02800,33,1,2,294
2,6,1,1,6,0,25-01000,60,0,3,497
1,6,1,2,N,0,25-02800,38,0,6,457
1,1,1,1,8,0,25-01000,57,0,3,267
2,4,1,2,9,0,25-01000,52,1,2,N
1,6,1,1,1,0,25-00703,22,1,4,467
2,1,9,1,2,0,25-01300,58,0,2,348
1,6,6,1,3,0,25-01300,67,1,4,501
2,1,9,1,5,0,25-00703,45,0,N,288
2,6,1,2,6,2,25-01300,65,0,2,3
1,1,1,1,4,0,25-00703,50,0,2,423
2,6,2,1,3,0,25-02800,19,1,N,N
2,6,1,1,1,0,25-01000,69,2,2,248
2,1,8,2,1,0,25-01000,53,0,2,268
2,1,1,1,6,0,25-00503,16,0,2,412
2,4,1,1,1,0,25-01300,28,1,4,454
1,6,1,1,7,0,25-01000,54,0,3,308
2,4,1,1,5,0,25-01300,61,0,2,501
2,N,1,1,5,0,25-00503,41,1,3,0
1,3,1,1,3,0,25-00703,52,0,4,302
2,1,1,1,9,4,25-02800,35,0,4,281
2,1,1,1,5,0,25-00703,22,1,6,244
1,4,1,1,6,0,25-02800,39,1,5,N
2,4,1,1,3,0,25-01300,56,0,4,408
1,6,1,2,0,0,25-02800,27,0,N,301
2,6,1,1,3,0,25-00703,14,1,2,233
1,6,1,1,1,4,25-00703,65,0,3,189
1,1,6,1,4,0,25-01300,24,0,6,422
2,6,1,1,3,0,25-02800,66,2,3,30
2,2,1,1,5,0,25-01000,22,1,3,340
2,6,1,2,6,0,25-01000,34,0,2,468
2,6,5,1,6,0,25-00703,75,1,4,456
2,6,1,2,2,0,25-01300,38,0,N,302
1,1,1,2,6,0,25-02800,72,0,2,501
1,1,1,1,3,0,25-01000,30,1,3,501
2,1,1,1,6,0,25-02800,82,0,2,120
2,6,1,1,2,0,25-02800,66,0,2,202
2,6,1,1,3,0,25-01300,16,0,7,395
2,N,1,2,7,0,25-02800,61,0,3,18
2,1,1,1,N,0,25-01300,72,0,5,484
2,6,1,1,N,0,25-00503,19,0,2,0
1,1,1,1,3,0,25-00703,21,3,2,476
1,1,1,1,1,0,25-01000,19,0,9,65
1,1,6,2,3,0,25-02800,64,0,4,213
2,1,1,1,0,0,25-00503,22,0,2,501
1,6,1,2,2,0,25-01300,22,0,N,243
1,5,1,2,3,0,25-00503,65,0,6,305
1,6,6,1,5,0,25-01300,64,0,2,202
1,1,1,1,1,0,25-02800,34,1,3,281
1,6,1,1,3,0,25-00703,54,0,2,380
1,6,1,2,4,0,25-02800,65,0,2,308
2,1,1,1,0,0,25-01300,49,2,2,325
1,2,1,1,2,0,25-00703,69,0,5,262
1,6,2,1,2,0,25-00503,67,0,2,377
1,1,1,1,N,2,25-00503,91,0,4,246
2,1,1,1,4,0,25-01000,53,N,N,246
1,1,1,1,6,0,25-00703,55,0,2,500
1,1,1,1,6,0,25-00503,36,0,3,501
2,6,1,2,N,0,25-02800,71,2,3,256
2,1,1,1,2,0,25-01000,22,1,7,455
2,1,1,1,2,0,25-00503,42,0,2,339
1,4,1,0,3,0,25-01000,66,0,4,190
2,6,1,1,7,2,25-00703,41,0,2,385
1,2,1,1,3,0,25-00703,20,0,4,337
2,6,1,1,1,0,25-00703,58,4,6,476
1,6,1,2,7,0,25-02800,60,0,5,412
2,4,1,2,1,0,25-01000,70,0,2,180
2,1,1,1,8,0,25-01300,54,0,4,442
2,1,1,2,6,0,25-01300,55,1,3,262
1,6,1,2,7,0,25-01000,0,0,2,335
2,2,1,1,6,0,25-01300,40,N,4,385
1,1,1,1,6,0,25-00503,63,0,3,234
2,6,1,2,4,0,25-01300,30,2,3,266
1,3,1,2,3,0,25-01300,52,0,5,456
1,1,1,1,7,0,25-00703,28,0,6,431
2,6,1,1,3,4,25-02800,34,3,6,142
1,6,1,1,4,0,25-00703,35,0,9,219
2,6,1,1,9,0,25-01000,42,0,2,398
2,1,6,1,1,0,25-02800,72,0,2,213
1,6,1,1,2,0,25-01000,15,0,4,110
2,6,1,1,7,0,25-00703,65,0,2,271
2,1,1,2,5,0,25-01300,39,0,2,239
1,6,2,2,0,0,25-00503,21,3,2,345
1,1,6,2,6,0,25-01300,76,0,2,501
1,3,1,2,3,0,25-01000,49,0,N,423
2,4,1,1,2,0,25-01300,38,0,2,114
2,5,1,1,4,0,25-02800,26,1,4,306
1,4,6,1,4,0,25-01000,18,0,N,501
1,6,1,2,0,0,25-00503,22,0,4,247
1,1,1,1,6,0,25-00503,13,0,6,501
1,6,8,1,2,4,25-00503,39,0,4,281
1,1,1,1,5,0,25-02800,63,0,4,443
2,1,1,1,0,0,25-00703,54,0,4,215
2,6,1,1,4,0,25-00703,87,0,7,501
1,1,1,2,0,0,25-02800,46,0,3,501
1,6,1,1,3,0,25-01300,60,0,5,262
1,1,1,2,6,0,25-00703,46,2,4,321
1,1,5,1,N,4,25-00703,50,1,2,378
1,4,1,1,4,0,25-01000,29,0,4,447
2,4,1,1,8,4,25-00703,52,0,4,239
1,N,1,1,2,0,25-02800,16,0,N,501
1,1,1,2,7,0,25-00503,47,0,2,164
1,6,1,1,6,1,25-00503,29,0,3,304
2,4,2,1,4,0,25-00503,60,2,6,478
2,1,1,1,7,0,25-00703,65,1,2,473
2,1,6,1,2,0,25-01000,55,4,N,0
1,6,1,1,1,0,25-00703,28,0,2,378
1,6,1,1,1,0,25-00703,59,0,4,206
1,3,1,2,8,0,25-02800,56,0,4,37
1,3,1,1,4,0,25-01300,72,0,5,15
1,1,1,1,3,0,25-02800,52,0,5,449
2,1,1,1,8,0,25-00503,29,0,2,459
1,4,1,2,0,0,25-00703,94,5,2,449
2,4,1,1,2,0,25-00703,28,2,7,501
2,6,1,1,N,0,25-00703,18,0,2,373
2,2,1,1,2,0,25-00703,54,0,4,407
2,6,1,2,0,0,25-01300,71,0,4,476
1,1,1,1,4,0,25-00703,62,0,4,43
2,6,1,2,4,4,25-00503,70,1,3,230
2,1,1,2,1,0,25-01000,58,0,5,392
1,3,1,1,1,4,25-01300,24,0,2,420
2,1,1,1,6,0,25-00703,14,0,N,423
1,1,1,1,4,0,25-02800,39,1,2,213
1,1,9,2,3,0,25-00503,69,0,3,471
1,1,1,1,2,0,25-01000,68,0,3,499
2,N,1,1,5,0,25-01300,54,0,2,362
1,6,1,2,3,0,25-00503,91,2,3,223
2,1,1,1,8,0,25-01000,75,0,4,233
2,6,1,2,5,4,25-00503,41,0,4,172
1,1,1,1,5,0,25-02800,37,4,2,164
1,1,1,2,4,0,25-01300,40,2,7,28
2,6,1,2,8,1,25-00703,74,0,6,241
2,1,1,1,5,0,25-01000,66,1,5,348
1,2,1,1,2,0,25-00703,3,0,6,102
2,4,1,1,0,0,25-01300,35,2,4,501
2,1,1,1,7,0,25-00703,14,3,N,150
2,3,1,1,6,0,25-00703,87,0,7,477
1,1,1,1,7,0,25-01000,37,0,2,438
2,6,1,2,0,0,25-01300,22,0,4,99
1,1,1,2,6,0,25-02800,32,0,2,496
1,2,1,2,9,0,25-00703,20,0,2,68
1,6,1,1,3,0,25-02800,50,0,N,415
1,1,1,2,9,0,25-01300,22,2,3,501
2,1,6,1,0,0,25-00703,63,1,4,501
2,N,1,1,4,0,25-01000,75,0,3,42
2,1,6,1,0,0,25-01000,38,0,2,341
1,4,6,2,4,0,25-01300,31,N,N,501
2,1,1,1,3,0,25-00503,70,0,3,233
2,1,1,2,6,0,25-01000,66,1,2,501
2,1,1,1,3,0,25-01000,53,0,2,473
1,4,1,1,N,0,25-02800,94,0,4,350
1,1,6,2,1,1,25-00703,18,0,4,501
2,1,1,2,0,0,25-00703,69,0,3,353
2,5,6,1,0,0,25-00503,34,0,N,326
1,1,1,1,1,0,25-00503,43,0,N,476
1,1,1,1,1,0,25-00703,64,0,6,151
2,2,1,0,0,0,25-01000,77,2,6,N
1,1,6,1,5,0,25-02800,37,3,N,463
2,1,1,2,2,0,25-01000,73,0,5,461
2,3,1,0,1,0,25-01000,86,1,3,377
2,6,6,1,4,0,25-00703,22,0,4,464
2,6,1,1,5,0,25-01000,42,0,2,181
1,4,1,1,1,0,25-01300,57,0,4,408
2,1,1,1,4,0,25-00703,42,2,4,396
2,6,6,2,8,0,25-02800,85,0,5,191
1,1,1,0,5,0,25-02800,53,0,4,479
2,1,6,1,6,0,25-00703,36,2,2,361
2,4,8,2,2,0,25-02800,62,0,2,170
1,6,1,1,1,0,25-01000,35,0,3,193
2,4,1,1,3,0,25-01000,63,0,4,236
1,6,1,1,3,0,25-00503,22,0,3,187
2,4,1,1,1,0,25-01300,19,0,4,342
2,1,1,1,4,0,25-02800,84,0,4,333
2,1,1,1,2,0,25-00703,54,1,2,477
1,4,1,2,3,0,25-00703,52,0,N,3
2,1,1,1,7,0,25-02800,43,0,2,25
1,3,1,2,2,0,25-00503,32,0,2,176
