,INDP,count_target,count_deidentified
14,4670,53,54.0
25,4680,14,8.0
3,4690,25,0.0
17,4770,28,0.0
20,4780,3,0.0
12,4795,21,0.0
2,4870,38,37.0
27,4880,11,13.0
7,4890,13,10.0
0,4971,76,74.0
16,4972,9,10.0
22,4980,5,0.0
21,4990,2,0.0
8,5070,33,35.0
10,5080,18,15.0
15,5090,22,22.0
5,5170,26,28.0
33,5180,2,0.0
19,5190,6,5.0
9,5275,19,0.0
1,5280,2,0.0
29,5370,3,4.0
18,5381,19,15.0
11,5391,101,102.0
24,5470,4,1.0
28,5480,3,0.0
4,5490,13,13.0
30,5570,7,0.0
6,5580,39,40.0
26,5593,20,18.0
32,5670,1,0.0
31,5680,4,4.0
23,5690,11,15.0
13,5790,12,0.0
