,feature,divergence
22,PWGTP,16.91820348577387
23,WGTP,14.978928860404473
14,PINCP,1.1157204411765758
1,AGEP,0.5836298932384346
11,INDP,0.46631892276215026
16,POVPIP,0.13790407462203333
12,INDP_CAT,0.12165509302185845
13,EDU,0.08155399570804459
7,NPF,0.07935884268582852
15,PINCP_DECILE,0.05771898533491884
0,PUMA,0.042730372781523585
6,NOC,0.031418522420699924
10,DENSITY,0.022467355720039814
3,MSP,0.02112676056338024
21,DEAR,0.012904774077764622
5,RAC1P,0.010898617627165184
17,DVET,0.010446879330907936
2,SEX,0.009896201108601788
4,HISP,0.007726482315915123
8,HOUSING_TYPE,0.0056438495063051855
19,DPHY,0.005298798494049656
18,DREM,0.004326675986565415
20,DEYE,0.0029336462867435645
9,OWN_RENT,0.002851522143574179
