,feature,divergence
13,PINCP,3.041671161181976
10,DENSITY,2.1076109723387337
1,AGEP,1.4621249121249116
0,PUMA,0.4731226160203433
12,EDU,0.2258177067094263
15,POVPIP,0.16360850984259684
7,NPF,0.10846653821304017
14,PINCP_DECILE,0.09691148579206854
11,INDP_CAT,0.06439375738204675
5,RAC1P,0.05359236586738947
6,NOC,0.050768814730639475
3,MSP,0.04111655140014172
16,DVET,0.018626998244488286
2,SEX,0.014702228387103444
4,HISP,0.013538967733987838
8,HOUSING_TYPE,0.010034858909945321
9,OWN_RENT,0.009434722257453634
18,DPHY,0.009387927219814338
20,DEAR,0.0053937343976193375
17,DREM,0.004003634371312126
19,DEYE,0.00388258345065565
