,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,87,2,N,11,1,4,2,3,2,2,80,2,N,1,7,60.0
1,13,2,N,4,1,N,2,N,3,1,14,2,N,1,N,80.0
2,65,2,N,7,1,1,1,9,5,2,72,2,N,1,6,60.0
3,66,2,N,10,1,3,2,0,6,2,82,2,N,1,8,60.0
4,81,2,N,1,1,4,1,6,6,2,49,2,N,1,2,60.0
5,55,2,N,10,1,2,1,7,3,2,66,1,N,1,9,40.0
6,60,2,N,8,1,3,2,3,3,2,82,2,N,1,7,60.0
7,69,2,N,5,1,3,1,0,6,1,84,2,N,1,9,60.0
8,73,2,2,1,1,4,2,5,1,1,81,2,N,1,2,40.0
9,23,2,N,6,1,6,2,3,6,2,79,2,N,1,5,60.0
10,55,2,N,5,1,2,1,4,3,1,41,2,N,1,0,60.0
11,40,2,N,6,1,1,1,2,9,2,38,2,N,1,4,60.0
12,30,2,N,12,1,1,2,9,9,1,28,2,N,1,0,60.0
13,80,2,N,8,1,3,2,8,9,2,51,2,N,1,8,80.0
14,41,2,N,10,1,5,2,3,8,2,60,2,N,1,2,60.0
15,74,2,N,6,3,3,0,3,1,1,71,2,5,2,2,20.0
16,20,2,N,8,1,6,2,1,9,1,70,2,N,1,2,60.0
17,57,2,N,3,3,3,0,5,1,1,85,2,N,2,3,40.0
18,49,2,N,3,1,2,2,5,1,1,60,2,N,1,6,60.0
19,79,2,N,4,1,4,1,5,8,1,54,2,N,1,9,60.0
20,77,2,N,5,1,4,1,3,9,1,57,2,N,1,7,60.0
21,66,1,N,5,1,2,2,5,3,2,44,2,N,1,4,40.0
22,48,2,N,4,1,4,1,2,9,1,46,2,N,1,7,60.0
23,60,2,N,5,1,5,2,2,9,2,40,2,N,1,6,60.0
24,79,2,N,5,1,3,1,2,8,1,65,2,N,1,7,60.0
25,50,2,N,12,1,2,1,8,6,1,38,2,N,1,9,60.0
26,30,2,N,8,1,4,1,0,8,1,38,2,N,1,6,60.0
27,32,2,N,8,1,4,2,3,9,1,62,2,N,1,2,60.0
28,22,2,N,6,3,6,0,0,6,1,52,1,N,2,2,20.0
29,19,2,N,10,3,2,0,2,2,1,34,2,N,3,9,60.0
30,60,2,N,8,1,4,2,0,6,2,64,2,N,1,7,60.0
31,41,2,N,11,1,2,1,9,6,1,31,2,N,1,8,60.0
32,36,2,N,6,1,4,1,2,9,1,25,2,N,1,2,80.0
33,41,2,N,5,1,4,1,1,8,1,41,2,N,1,5,80.0
34,65,2,N,9,1,6,1,1,3,2,35,2,N,1,0,60.0
35,33,2,N,10,1,2,2,7,9,2,56,2,N,1,9,60.0
36,14,2,N,4,1,N,2,N,9,2,14,2,N,1,N,100.0
37,56,2,N,8,1,1,1,9,5,1,44,1,N,1,1,40.0
38,60,2,N,10,1,1,2,8,8,2,30,2,N,1,0,60.0
39,24,2,N,6,1,2,2,2,1,1,25,2,N,1,2,80.0
40,37,2,N,6,1,4,2,8,6,1,64,2,N,1,5,60.0
41,60,2,N,8,1,1,1,7,9,1,60,2,N,1,7,100.0
42,66,2,N,4,1,4,1,2,3,2,51,2,N,1,3,60.0
43,69,2,N,9,1,3,2,1,6,1,69,2,N,1,4,80.0
44,60,2,N,8,1,4,1,4,8,2,60,2,N,1,7,80.0
45,80,1,N,4,1,3,2,0,9,2,63,1,N,1,1,60.0
46,13,2,N,4,1,N,2,N,8,1,13,2,N,1,N,100.0
47,48,2,N,7,1,1,1,9,5,1,47,2,N,1,4,60.0
48,40,2,N,1,1,2,2,4,8,1,44,2,N,1,4,80.0
49,63,2,N,6,1,1,1,1,8,2,57,2,N,1,9,60.0
50,43,2,N,5,1,2,1,2,8,1,32,2,N,1,2,80.0
51,69,2,N,11,1,3,2,0,1,1,76,2,N,1,3,60.0
52,68,2,N,6,1,3,1,2,3,1,61,1,N,1,1,40.0
53,73,1,N,1,1,5,2,1,6,2,50,2,N,1,5,40.0
54,67,2,N,8,1,5,2,1,1,2,76,2,N,1,2,60.0
55,21,2,N,8,1,6,1,0,8,2,21,2,N,1,3,80.0
56,35,2,N,6,1,2,2,5,8,1,59,2,N,1,2,60.0
57,48,2,N,8,1,1,1,9,5,2,54,2,N,1,6,60.0
58,74,2,N,11,1,4,2,4,2,1,77,2,N,1,3,60.0
59,60,2,N,7,1,3,2,3,9,2,64,2,N,1,3,80.0
60,94,2,N,3,1,3,1,4,6,1,89,2,N,1,6,60.0
61,79,2,N,1,1,3,1,4,8,1,76,2,N,1,0,60.0
62,35,2,N,9,1,2,1,6,9,1,46,2,N,1,9,60.0
63,55,2,N,9,1,4,1,2,8,2,61,2,N,1,0,60.0
64,67,1,N,8,1,3,1,4,3,2,93,2,N,1,4,60.0
65,65,2,N,9,1,4,2,5,3,2,47,2,N,1,6,60.0
66,40,2,N,9,1,2,1,7,3,2,42,2,N,1,7,80.0
67,14,2,N,4,1,N,2,N,9,1,14,2,N,1,N,100.0
68,55,2,N,4,1,2,1,6,8,1,54,2,N,1,3,60.0
69,31,2,N,5,1,4,2,5,6,1,79,2,N,1,3,60.0
