"AGEP","RAC1P","MSP","SEX","HOUSING_TYPE","OWN_RENT","DVET","DEYE","PINCP_DECILE","EDU"
"65","1","4","1","1","1","N","2","7","4"
"28","1","6","1","1","2","N","2","1","9"
"9","1","N","1","1","2","N","2","N","3"
"20","1","6","2","3","0","N","2","1","7"
"37","1","1","2","1","2","N","2","8","10"
"12","1","N","2","1","1","N","2","N","3"
"19","6","6","1","3","0","N","2","1","7"
"24","1","6","1","1","1","N","2","5","5"
"56","1","1","2","1","1","N","2","4","5"
"6","1","N","2","1","1","N","2","N","2"
"22","6","6","2","3","0","N","2","1","8"
"9","1","N","2","1","1","N","2","N","3"
"49","1","1","1","1","1","N","2","6","9"
"28","1","1","2","1","1","N","2","7","9"
"48","1","6","2","1","1","N","2","6","9"
"26","1","6","2","1","1","N","2","6","8"
"21","1","6","1","3","0","N","2","2","7"
"36","1","1","1","1","1","N","2","8","8"
"29","1","6","1","1","1","N","2","7","9"
"61","1","1","1","1","1","N","2","7","9"
"76","1","6","2","1","1","N","2","5","5"
"59","1","1","1","1","1","N","2","4","5"
"0","1","N","2","1","1","N","2","N","N"
"14","1","N","1","1","1","N","2","N","3"
"22","1","6","2","1","1","N","2","5","5"
"25","1","6","1","1","1","N","2","6","9"
"45","1","6","1","1","1","N","2","8","9"
"87","1","3","2","1","2","N","2","6","5"
"62","1","1","2","1","1","N","2","8","9"
"2","1","N","1","1","1","N","2","N","N"
"69","1","6","1","1","1","N","2","8","10"
"29","1","6","2","1","1","N","2","5","9"
"65","1","1","1","1","1","N","1","6","10"
"68","1","1","2","1","1","N","2","2","5"
"19","9","6","1","3","0","N","2","1","7"
"14","1","N","2","1","1","N","2","N","3"
"23","6","6","2","1","1","N","2","1","9"
"20","1","6","2","3","0","N","2","3","7"
"4","1","N","1","1","1","N","2","N","1"
"1","1","N","2","1","1","N","2","N","N"
"20","1","6","1","1","2","N","2","0","7"
"73","1","1","1","1","1","N","1","4","10"
"40","1","4","2","1","2","N","2","5","9"
"19","2","6","1","3","0","N","2","2","7"
"64","6","1","1","1","1","N","2","3","9"
"2","1","N","1","1","1","N","2","N","N"
"9","1","N","2","1","1","N","2","N","3"
"33","1","6","2","1","2","N","2","0","7"
"74","1","1","2","1","1","N","2","3","5"
"15","1","6","2","1","1","N","2","0","4"
"16","1","6","2","1","1","N","2","1","4"
"38","1","1","1","1","1","N","2","8","10"
"11","6","N","1","1","1","N","2","N","3"
"69","1","3","2","1","1","N","2","6","10"
"62","1","1","1","1","1","N","2","7","7"
"9","6","N","1","1","1","N","2","N","3"
"61","1","4","1","1","1","N","2","5","5"
"66","6","1","1","1","1","N","2","4","10"
"72","1","1","1","1","1","N","2","4","9"
"57","6","1","2","1","1","N","2","9","10"
"19","1","6","2","3","0","N","2","0","7"
"68","1","1","1","1","1","2","2","8","5"
"15","1","6","1","1","1","N","2","0","4"
"19","1","6","2","3","0","N","2","1","5"
"22","1","2","1","1","1","N","2","1","7"
"64","1","1","1","1","1","N","2","5","5"
"42","1","1","2","1","1","N","2","7","9"
"38","1","1","1","1","1","N","2","9","9"
"80","1","1","1","1","1","N","2","2","5"
"33","2","1","2","1","1","N","2","8","8"
"20","2","6","1","3","0","N","2","1","7"
"43","1","1","1","1","1","N","2","9","9"
"42","1","1","2","1","1","N","2","5","10"
"28","1","1","2","1","1","N","2","1","9"
"30","1","1","2","1","1","N","2","1","9"
"11","1","N","1","1","1","N","2","N","3"
"60","1","4","2","1","1","N","2","2","5"
"7","1","N","2","1","1","N","2","N","2"
"46","1","1","2","1","2","N","2","6","10"
"83","1","4","2","1","1","N","2","1","5"
"46","1","1","2","1","1","N","2","8","10"
"44","1","1","2","1","2","N","2","8","9"
"33","9","1","1","1","1","N","2","8","8"
"49","1","1","2","1","1","N","2","9","11"
"65","1","1","2","1","1","N","2","2","9"
"72","1","3","2","1","2","N","1","6","9"
"20","6","6","2","3","0","N","2","2","7"
"62","1","1","1","1","1","N","2","8","5"
"76","1","3","2","1","1","N","2","2","9"
"63","6","1","1","1","1","N","2","9","9"
