,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,10,2,7,2,2,2,N,3,3,1,N,N,N,3,5,1,N,N,501,48-02510,58,1,1,52,10,2,7,2,2,2,N,1,N,2,4,N,N,295,125,105,68.75
1,52,2,2,1,1,2,N,4,0,1,N,N,1,1,6,2,25000.0,4,287,48-02101,128,1,1,140,60,2,2,2,2,2,N,1,N,0,3,21200.0,4,238,60,59,43.75
2,56,2,2,2,2,2,N,6,0,1,6480,8,1,0,2,1,70000.0,8,501,48-02102,71,1,1,62,45,2,2,2,2,2,N,1,6680,0,2,78000.0,8,501,49,48,68.75
3,17,2,5,2,2,2,N,4,4,1,N,N,6,1,3,1,5400.0,2,200,48-02516,59,1,2,54,17,2,5,2,2,2,N,1,N,1,3,0.0,0,501,21,16,68.75
4,49,2,7,2,2,2,N,9,0,1,7071,9,1,0,2,1,50000.0,7,501,48-02510,54,2,2,52,47,2,7,2,2,2,3,1,6870,2,5,43100.0,6,310,67,67,37.5
5,71,2,6,2,2,2,N,11,0,1,7270,10,4,0,N,1,326000.0,9,501,48-02515,11,1,1,12,61,2,6,2,2,2,N,1,7270,0,N,50000.0,7,381,149,149,62.5
6,17,2,7,2,2,2,N,4,0,1,N,N,6,0,3,1,9000.0,2,501,48-02507,64,9,2,62,18,2,7,2,2,2,N,1,N,0,3,0.0,0,501,65,50,68.75
7,48,2,2,2,2,2,N,4,0,1,770,3,4,0,6,1,30700.0,5,174,48-02101,92,1,1,66,51,2,2,2,2,2,N,1,770,0,N,14000.0,3,106,43,43,56.25
8,15,2,7,2,2,2,N,4,1,1,N,N,6,1,3,1,0.0,0,501,48-02507,227,1,2,198,16,1,7,2,2,2,N,1,N,0,5,0.0,0,257,98,97,56.25
9,20,2,6,2,2,1,N,4,1,1,N,N,6,3,5,2,0.0,0,107,48-02515,101,1,1,81,17,2,6,2,2,2,N,1,N,1,4,0.0,0,120,171,136,56.25
10,38,2,5,2,2,2,N,12,0,1,7860,11,1,1,3,1,59500.0,7,440,48-02516,114,1,2,110,60,2,5,2,2,2,N,1,7870,0,2,80000.0,8,501,251,273,43.75
