,INDP,count_target,count_deidentified
3,1070,1,0.0
36,1080,1,1.0
39,1090,2,0.0
45,1170,3,1.0
5,1180,6,0.0
31,1190,1,0.0
18,1270,3,0.0
9,1280,11,3.0
33,1290,1,0.0
37,1370,2,3.0
38,1390,1,0.0
47,1480,1,3.0
46,1670,1,0.0
13,1691,4,3.0
32,1790,3,4.0
22,1990,4,3.0
7,2090,2,2.0
28,2190,5,0.0
34,2270,1,0.0
23,2280,3,0.0
20,2290,2,4.0
12,2370,5,9.0
19,2390,1,0.0
44,2490,2,2.0
21,2570,1,0.0
15,2590,1,0.0
10,2670,4,4.0
1,2770,2,0.0
4,2870,3,2.0
6,2880,2,0.0
16,2980,2,3.0
42,3095,1,2.0
27,3170,1,0.0
43,3180,2,1.0
0,3291,5,1.0
25,3365,3,9.0
17,3370,2,0.0
41,3380,4,1.0
29,3390,8,7.0
40,3470,2,3.0
26,3490,1,2.0
2,3570,38,21.0
14,3580,5,3.0
35,3895,3,8.0
8,3960,9,8.0
30,3970,3,6.0
24,3980,6,6.0
11,3990,9,6.0
